A01:A_MAZE_ING|???: "У-ди-ви-тельно!"
A06:INTRO6|Осторожность играет первостепенную роль.\nНа этих Мореходах везут ваш отряд - это пока что все что мы смогли перебросить.
A06:INTRO7|Как только вы зачистите территорию вокруг Пентагона, Евросоюз пришлет вам тяжелую технику.
A06:LATINBASETIP|Командир, если вы уничтожите базу Конфедерации, генерал Карвиль обоснуется на этом месте и вступит в бой.
A06:LATINTIP1|Конфедерация будет использовать засады и артиллерию, чтобы поразить вас до того, как
A06:LATINTIP2|вы доберетесь до них.
A06:LCDESTROYED|База Конфедерации уничтожена.
A06:LINCOLNHEAD|СОЛДАТ: " Минуточку... это не Линкольн, они поставили на его место голову Сталина!"
A06:MARAUDERTIP|СОЛДАТ: "Т-Танки Тесла! Они нас сейчас изжарят!"
A06:MCVREMINDER|Сэр, это пока единственный МСЦ, который мы смогли провести сюда, не потеряйте его.
A06:MENTALFISTED|Кулаки Сталина уничтожены. Поток вражеских машин должен уменьшиться до минимума.
A06:MENTALSTALINSFISTS|ВНИМАНИЕ - Советы развернули второй Кулак Сталина!
A06:NAME_RIOT|Капитан Шепард
A06:NEWSPIES|К вашим позициям были направлены дополнительные шпионы. Используйте их с умом.
A06:NORMALFISTED|Кулак Сталина уничтожен. Они больше не могут подавить нас танками.
A06:NORMALSTALINSFIST|ВНИМАНИЕ - Советы развернули Кулак Сталина! Это значительно ускорит производство танков!
A06:OBJ1C|Задание Выполнено.
A06:OBJ1REMINDER|Задание 1: Освободить территорию вокруг Пентагона.
A06:OUTRO1|Командующий, сегодня была одержана важнейшая победа.
A06:OUTRO10|Кап. ШЕПАРД: "Призрак Чикаго теперь может отдохнуть. Но наша главная задача еще далеко не выполнена."
A06:OUTRO11|Командир, это начало конца. Но в этот раз не нашего.
A06:OUTRO2|Призыв к свободе эхом разносится по всей территории Соединенных Штатов.
A06:OUTRO3|Ход войны еще не переломился, но с помощью вновь обретенных союзников мы вернем себе
A06:OUTRO4|то, что считалось потерянным.
A06:OUTRO5|Советы не так уж неуязвимы, как это могло показаться.
A06:OUTRO6|Тем не менее, нам предстоит еще много работы.
A06:OUTRO7|ГЕН. КАРВИЛЬ: "Командир, я думаю, что после всего этого вас ждет повышение! Увидимся у Белого дома".
A06:OUTRO8|ГЕН. КАРВИЛЬ: "Все мы хотим сказать тебе несколько слов!"
A06:OUTRO9|ТАНЯ: " Пф... Советские войска слабы!  Мы их быстро заставим вернуться домой в Москву!"
A06:P2INTRO1|Визуализация поля боя включено. Мы вычисляем методом триангуляции положение советских баз в Вашингтоне.
A06:P2INTRO2|Командующий, все члены Коминтерна прибыли в Вашингтон. В последние несколько недель они
A06:P2INTRO3|были неудержимы, но они еще не знают, что празднуют еще слишком рано.
A06:P2INTRO4|Все советское высшее руководство находится в Белом доме, Генерал Владимир среди них.
A06:P2INTRO5|Это отличная возможность разобраться с ним.
A06:P2INTRO6|Они тут же попытаются уничтожить нас, но мы дадим им бой и переломим ход войны.
A06:P2INTRO7|От этой битвы зависит будущее нашей нации.
A06:P2INTRO8|Желаю удачи, командир. Мы постараемся прислать вам как можно больше помощи.
A06:PENTAGONLOST|Пентагон уничтожен - МИССИЯ ПРОВАЛЕНА
A06:PLAYER_DESTROYED|Все ваши силы были уничтожены - МИССИЯ ПРОВАЛЕНА
A06:PORTAUTHORITYCAPTURED|ШПИОН: "С Портовой Администрацией под контролем, мы можем себе позволить ввести наши войска в Потомак"
A06:PORTAUTHORITYCAPTURED2|ШПИОН: " Ожидаю ваших распоряжений"
A06:POTOMACSUBS|Потомак кишит советскими подлодками. Они усложняют нам задачу по отправке вам подкреплений.
A06:POTOMACSUBS2|Вам придется пока обойтись теми силами, которые у вас есть.
A06:PRISMTOWER|ШтейнТек разрабатывали Призма Башню в течение довольно долгого времени.
A06:PRISMTOWER2|Эти башни способны уничтожать советскую пехоту и танки, за считанные мгновения.
A06:RADARINFILTRATED|Шпион успешно проник на Радарную Башню.
A06:REINF_CARVILLE|Нажмите, чтобы вызвать отряды Генерала Карвиля в эту область.
A06:REINF_TANYA|Нажмите, чтобы вызвать отряды Тани в эту область.
A06:REMINDER1|Задание 1: Освободить территорию вокруг Пентагона.
A06:REMINDER2|Задание 2: Уничтожить все советские войска в Вашингтоне.
A06:REMINDER3|УСТАРЕВШИЙ
A06:RIOT_BACK|Капитан Шепард восстановился и теперь находится в вашем распоряжении. Вы можете вызвать его из казармы.
A06:RIOT_DEAD|Капитан Шепард получил серьёзное ранение. Он вернется на поле боя, как только поправится.
A06:RIOTEND1A|Кап. ШЕПАРД: "Мы загнали их в угол, генерал Карвиль. Прошу дать нам с
A06:RIOTEND1B|Таней возможность задержать Советское Командование засевшее в Белом Доме."
A06:RIOTEND2|Кап. ШЕПАРД: "Мы входим."
A06:RIOTEND3|Кап. ШЕПАРД: "Мы взяли их. Повторяю, советское командование и руководство захвачены."
A06:RIOTEND4|Кап. ШЕПАРД: "Нам есть за что с вас спросить, особенно за Чикаго, Владимир. Мертвые ищут справедливости."
A06:RIOTSPEAKING|Кап. ШЕПАРД: "Приятно встретиться с вами снова, командир. Давайте изгоним этих комми из нашей столицы."
A06:RIOTSPEAKING1|Кап. ШЕПАРД: "Ты все еще должен мне выпивку - Влад. Возможно это будет всего лишь несколько кружек..."
A06:RIOTSPEAKING2|Кап. ШЕПАРД: "Похоже что Конфедераты так и не усвоили урока, генерал Карвиль".
A06:RIOTSPEAKING3|Кап. ШЕПАРД: "Их Танки Тесла тепло встретили нас еще в Чикаго.\nДавайте же вернем им должок с помощью лазеров"
A06:RIOTSPEAKING4|Кап. ШЕПАРД: "Рад снова видеть тебя, Таня. Слышал, что ваша команда обезвредила советские ядерные ракеты"
A06:RIOTSPEAKING5|Кап. ШЕПАРД: "Мы благодарны вам за ваши действия после Чикаго. Вы отплатили за них."
A06:RIOTSPEAKING6|Кап. ШЕПАРД: "Эх... Я предпочитаю наши "Страйкеры". С ними не сравниться в мобильности."
A06:RIOTSPEAKING7|Кап. ШЕПАРД: "Ястребы приходятся как нельзя кстати.\nЯ был бы рад такой воздушной поддержке пару месяцев назад!"
A06:RIOTSPEAKING8|Кап. ШЕПАРД: "Должен признаться, я всегда хотел иметь собственную версию катушки Тесла.\nПохоже, теперь она у нас есть."
A06:RIOTSPEAKING9|Кап. ШЕПАРД: "Они атакуют!  Пора вмешаться в ход событий и покончить с этим!"
A06:RUINEDAIRFIELD|Это, должно быть, развалины их военного аэродрома.
A06:RUSSIABASEDESTROYED|Главная русская база была уничтожена.
A06:RUSSIATIP1|Русские намерены задавить вас танками и уничтожить вашу оборону с помощью
A06:RUSSIATIP2|Пусковых Установок Эльбрус большой дальности.
A06:SEALSBLOWNAVAL|Наши команды Морских Котиков подорвали все советские верфи.\nТеперь мы можем прислать к вам дополнительные подкрепления.
A06:SENSORTOWERTIP|Кажется, Советы развернули свои Детекторные Вышки. Соблюдайте осторожность.
A06:SNIPEREXISTS|Снайпер - превосходный стрелок, способный уничтожать вражескую пехоту на большом расстоянии.
A06:SOVIETSDEFEATED|Задание Выполнено. Советские войска вокруг Пентагона уничтожены.
A06:SOVIETSDEFEATED2|Сейчас, чтобы вернуть Пентагон и перезапустить его системы управления войсками нам
A06:SOVIETSDEFEATED3|нужно перезагрузить вашу систему Управление полем Боя. Ожидайте, командир.
A06:SPYEXISTS|Воспользуйтесь шпионом, командир. Он может быть полезен.
A06:SPYHINT|Один из наших оперативников наблюдал за начальным этапом\nоперации по проникновения на территорию города на Мореходах.
A06:SPYREINFORCEMENTS|К вам на помощь прибыла группа шпионов. Пользуйтесь ими с умом.
A06:TANYA_DEAD|Таня была ранена. Она вернется на поле боя, как только восстановится.
A06:TANYA_DEAD_AGAIN|Таня снова получила серьезную травму. Мы не можем позволить себе снова ранить ее в третий раз.
A06:TANYA1|ТАНЯ: "Я на месте, командир. А теперь давайте отправим этих коммуняк обратно к их мамочкам!"
A06:TANYA10|ТАНЯ: "Мы их оттесняем! Осталось поддерживать темп, командир!"
A06:TANYA2|ТАНЯ: "Должна сказать, что эта база выглядит просто замечательно.\nЖаль, что нашим дорогим друзьям удалось сбежать!"
A06:TANYA3|ТАНЯ: "Мы прикроем ваш правый фланг. Они бросят все, что у них есть на центральное направление."
A06:TANYA4|ТАНЯ: "У Владимира нет никаких шансов!"
A06:TANYA5|Таня: "Игра подошла к концу, Влад. Ты скоро проиграешь."
A06:TANYA6|ТАНЯ: "Я все думала, когда же ты явишься за местью, Шепард"
A06:TANYA7|ТАНЯ: "Хватит болтать. Владимир все еще на свободе. Давай добудем выпивку которую он тебе должен!"
A06:TANYA8|ТАНЯ: "Мне нравятся эти Архонты, чертовски удобные. Куча места для ног."
A06:TANYA9|ТАНЯ: "Мне бы не помешала помощь, командир!"
A06:TANYAARRIVES|Спецотряд во главе с агентом Таней прибыла, чтобы поддержать вас.
A06:TANYAEND|ТАНЯ: "Не волнуйтесь, ребята. Мы доставим виновных под трибунал и заставим их ответить за Чикаго!"
A06:TANYAEND1|ТАНЯ: "Да, возможно. Но сегодня мы показали всему миру, что вы не непобедимы. Времена меняются "товарищ"."
A06:THOREXISTS|Европейцы прислали нам прототипы Торов. Это большие летательные аппараты, способные
A06:THOREXISTS2|обеспечивает ближнюю поддержку с воздуха и имеет полномочия командовать подразделениями под ним.
A06:TOOMUCHCADRES1|Ваша чрезмерная ставка на одно и то же конкретное подразделение\nв бою - это решение, которое продолжает нас озадачивать.
A06:TOOMUCHCADRES2|Эта стратегия в будущем может оказаться не такой действенной, как вам кажется.
A06:VLADDYEND|ГЕН. ВЛАДИМИР: " Услышьте меня американцы.\nВозможно - вы победили меня, но вы никогда не победите матушку Россию"
A06:VLADDYEND1|ГЕН. ВЛАДИМИР: "Вы, может, и вернули свою поганую столицу, но мы вас выгоним! Очень скоро!"
A06:VLADDYEND2|ГЕН. ВЛАДИМИР: "Ваши так называемые "союзники" пожалеют - что помогали вам, и будут молить нас о пощаде!"
A06:VLADDYEND3|ГЕН. ВЛАДИМИР: "Великая Красная Революция неизбежна. В конце концов наша мощь сокрушит вас всех!"
A06:VLADDYEND4|
A06:VLADDYLOST|ГЕН. ВЛАДИМИР: "Будьте вы прокляты союзные псы! Этого не может быть ваша столица - наша, она МОЯ!".
A06:VLADDYTAUNT1|ГЕН. ВЛАДИМИР: "Опять ты, американская свинья? Жаль у тебя не хватило вежливости сдохнуть ранее"
A06:VLADDYTAUNT10|ГЕН. ВЛАДИМР: "Если вы будете меня умолять, я могу дать вам немного времени! Ха!"
A06:VLADDYTAUNT11|ГЕН. ВЛАДИМИР: "И вот прибывает еще одна пешка. Добро пожаловать в игру, агент Таня"
A06:VLADDYTAUNT12|ГЕН. ВЛАДИМИР: "Орда уже на подходе, американец. Мои войска скоро захлестнут тебя!"
A06:VLADDYTAUNT2|ГЕН. ВЛАДИМИР: "Позвольте мне научить вас хорошим манерам силой матушки России!"
A06:VLADDYTAUNT3|ГЕН. ВЛАДИМИР: "Это верно американец. Скоро вы будете содрогаться от страха перед советскими танками!"
A06:VLADDYTAUNT4|ГЕН. ВЛАДИМИР: "Берегись, американец. Я все ближе и ближе..."
A06:VLADDYTAUNT5|ГЕН. ВЛАДИМИР: "Я взял на себя смелость передать себе в распоряжение ваши войска.
A06:VLADDYTAUNT5.1|Они окажутся более успешными под моим руководством."
A06:VLADDYTAUNT6|ГЕН. ВЛАДИМИР: "Эти башни почти впечатляют...\nНо скажи мне, как они по вашему будут противостоять моим Эльбрусам?"
A06:VLADDYTAUNT7|ГЕН. ВЛАДИМИР: "Скажите этому старому псу Карвилу, отсчитывать последние дни в своей жизни."
A06:VLADDYTAUNT8|ГЕН. ВЛАДИМИР: "Мне больше не нужна ваша старая убогая база, и тебе, американец, она тоже не нужна."
A06:VLADDYTAUNT9|ГЕН. ВЛАДИМИР: "Не хватает средств? Я думал, вы, капиталисты, утопаете в деньгах!"
A06:WARHAWK|Ястребы превосходно справляются со всеми наземными целями, а также могут лечить нашу летающую пехоту.
A06:WEWON|Мы сделали это, командир. Советы выбиты из Вашингтона! Столица вновь отбита!
A06:WEWON1|Остались только те, что находятся в Белом доме. Мы должны захватить их живыми.
A06:WH_DESTROYED|Белый дом уничтожен - МИССИЯ ПРОВАЛЕНА
A06:WHRECAPTURED|Белый дом был захвачен.
A06:WRECKTIP|СОВЕТ: Вашингтон - усеян различными брошенными машинами оставшимися от прошлых сражений,\nтам есть как наши так и советские.
A06:WRECKTIP2|Вы можете их захватить. Они могут быть полезны для вашего усиления.
A07:01|Нажмите, чтобы взять под контроль базу США
A07:02|Нажмите, чтобы взять под контроль базу Европейского Союза
A07:03|Нажмите, чтобы взять под контроль базу Тихоокеанского фронта
A07:04|Центр Связи с Меркурием был уничтожен - МИССИЯ ПРОВАЛЕНА
A07:05|Центр Управления Щитом был уничтожен - МИССИЯ ПРОВАЛЕНА
A07:06|Центр Управления Роботизированными Операциями был уничтожен - МИССИЯ ПРОВАЛЕНА
A07:07|Советские войска прибыли на Гавайи. Наши передовые укрепления уже пали.
A07:08|Вы получили право взять под контроль одну из главных баз. Выбирайте с умом.
A07:09|Наши жизненно важные здания не должны быть уничтожены ни при каких обстоятельствах.
A07:10|Задача: Защитить Центр Связи с Меркурием, Центр Упр. Щитом и Центр Упр. Роботизированными Операциями.
A07:11|Задание выполнено. Советские войска полностью уничтожены.
A07:12|Погодный кристалл является частью текущего проекта по созданию локальных гроз.
A07:13|Пройдет совсем немного времени, и враг направит свои войска на наши основные базы. Приготовьтесь.
A07:14|Этот Стратофортресс оснащен ракетами с инфракрасным наведением.\nОн не будет поражать дружественные объекты.
A07:15|Советы вторгнутся на главный остров через:
A07:16|Японский флот прибудет через:
A07:17|Япония отправила свой флот на помощь нам. Мы должны удерживать позиции до их прибытия.
A07:18|Японский флот прибыл. Вам был предоставлен контроль над его отдельной частью.
A07:19|Норио был ранен и вынужден был отступить с поля боя, чтобы восстановиться.
A07:20|Норио восстановился. Вы можете найти его в казарме.
A07:21|Норио был тяжело ранен, и его потребовалось забрать с поля боя.
A07:22|ВНИМАНИЕ - Американская база несет тяжелые потери!
A07:23|ВНИМАНИЕ - Европейская база несет тяжелые потери!
A07:24|ВНИМАНИЕ - База Тихоокеанского фронта несет тяжелые потери!
A07:25|Пришло время нанести им ответный удар. Бейте изо всех сил, командир!
A07:26|ВНИМАНИЕ - Обнаружена Ядерная Ракетная Шахта!
A07:27|Задание: Уничтожить советские базы.
A07:28|Эйнштейну удалось вовремя эвакуировать прототип Погодного Кристалла.
A07:29|ВНИМАНИЕ - Стратофортресс прибыл на поле боя!
A07:30|Норио Томокава вернулся с разведки боем. Он ожидает ваших приказов.
A07:31|НОРИО: "Я нужен тебе, командир? Вот он я!"
A07:32|НОРИО: "Пусть волны судьбы обрушатся на них!"
A07:33|Адмирал НАГАМА: "Мы сейчас покидаем Окинаву. Вы должны продержаться столько, сколько сможете".
A07:34|Адмирал НАГАМА: "Похоже, мы прибыли как раз вовремя, чтобы проучить противника".
A07:35|Адмирал НАГАМА: "Мощь Японии на вашей стороне. Не щадите их!"
A07:36|Удар Меркурия повредит или уничтожит угрозы со стороны противника с помощью наших орбитальных орудий.
A07:37|Спустя много лет Эйнштейн смог разработать аналог российского железного занавеса.
A07:38|Используйте Силовой щит для временной защиты зданий, если в этом есть необходимость.
A07:39|Бот-Наводчик позволяет Зефирам поражать свои цели из любой точки поля боя.
A07:40|Инверсионное тепловое орудие танка Буран эффективно против всех видов летательных аппаратов и пехоты.
A07:41|Вездеходный плавающий Робот-танк поможет вам справиться с пехотой и обнаружить скрытые боевые единицы.
A07:42|Проект "Регенбоген"
A07:43|Вражеский Пехотинец
A07:44|Вражеская Техника
A07:OBJC|Задание выполнено.
A07:TEXT|=======================================================================
A08:01|Сент-Луис - один из последних важных городов, которые все еще под советским контролем.
A08:02|Предыдущие попытки Европейцев уничтожить пси маяк были безуспешными.
A08:03|Ни самолет-разведчик Черная Вдова, ни бомбардировщик Барракуда\nне смогли провести разведку или уничтожить свою цель.\n\n
A08:04|Оборона противника в этом районе слишком сильна.
A08:05|С северо-востока прибыла оперативная группа спецагента Тани.
A08:06|Мы должны поторопиться. До того, как наши силы окажутся под контролем разума, времени немного.
A08:07|Задание 1: Найдите и уничтожьте пси маяк.
A08:08|Задание Выполнено.
A08:09|Таня была убита в бою - МИССИЯ ПРОВАЛЕНА
A08:10|Наши силы подверглись контролю разума - МИССИЯ ПРОВАЛЕНА
A08:11|Наши силы окажутся под контролем разума через:
A08:12|ТАНЯ: "Мы нашли чертов маяк. Теперь давайте быстро разберемся с ним!"
A08:13|Пси маяка больше нет. Вам дано разрешение на захват заброшенного американского\nаванпоста. Инженеры для захвата скоро будут на месте.
A08:14|Вскоре начнется крупномасштабное наступление на Арку Гейтвей.
A08:15|Ваш МСЦ прибыл в сопровождении основных штурмовых сил. Не потеряйте его.
A08:16|Этот крупнейший в США завод по сборке МСЦ был захвачен Советами в самом начале вторжения.
A08:17|Если мы хотим когда-нибудь восстановить наши производственные возможности, то сейчас самое время.
A08:18|Башня Связи Захвачена
A08:19|Башня Связи Б Захвачена
A08:20|Башня Связи В Захвачена
A08:21|Исследовательский Купол захвачен
A08:22|Теперь мы можем связать пушки Афины с сетью Меркурия. Ожидайте.
A08:23|Таня была ранена и вынуждена была отступить с поля боя.
A08:24|Таня восстановилась. Вы можете найти ее в казарме.
A08:25|Таня была тяжело ранена, и ее пришлось эвакуировать с поля боя.
A08:26|Задание 2: Уничтожить все советские силы в Сент-Луисе.
A08:27|ВНИМАНИЕ - Советы используют эти постройки для клонирования своей пехоты!
A08:28|Прототип орудия Афина был закончен раньше, чем спутниковая сеть Меркурий.
A08:29|Эти башни связи позволяют прототипам временно связываться с нашими спутниками.
A08:30|ВНИМАНИЕ - Советы используют наши же танки против нас!
A08:31|Странно, мы не видели ничего подобного раньше. Это похоже на Сборочный Цех.
A08:32|Наши опасения сбылись!\nРусские использовали наши технологии для улучшения своих МСЦ!
A08:33|Наконец-то! Нам удалось восстановить чертежи танка Абрамс.\nИспользуйте их, да воцарится свобода!
A08:34|Прибыло звено боевых кораблей Тор. Они ожидают ваших приказов.
A08:35|ВНИМАНИЕ - Обнаружен блок-пост! Будет разумно обойти его.
A08:36|ВНИМАНИЕ - Обнаружена русская база! Нам лучше обойти его.
A08:37|Задание выполнено. Сент-Луис освобожден от советских войск.
A08:38|Поскольку заводы по сборке МСЦ снова в наших руках, мы можем возобновить массовое военное производство.
A08:39|Новые Танки Призма профессора Эйнштейна превосходно справляются как с вражеской пехотой,\nтак и со зданиями.
A08:40|С подконтрольными нам башнями связи мы можем наблюдать за всем полем боя.
A08:41|Этот Стратофортресс был сбит совсем недавно. Мы должны не дать забрать его Советам.
A08:42|Странно, но мы не можем найти способ контролировать это здание.
A08:43|Мы попали в засаду неопознанных подземных машин!
A08:44|ВНИМАНИЕ - Прибывает крупное вражеское подкрепление!
A08:45|Что-то не так, мы не обнаруживаем ни одного солдата, которому удалось бы освободиться от контроля разума.
A08:46|Генерал Владимир
A08:47|ВНИМАНИЕ - Враг приступил к производству дронов ужаса!
A08:48|Сборочное Производство
A08:50A|???: "Черепаха поразит ягуара величайшим заблуждением."
A08:50B|???: "Дремучие леса слушают стенания трех великих бедствий".
A08:50C|???: "Они спрятались за своими великими новшествами, напуганные напором Воина."
A08:50D|???: "Сгустились бури, скрылись коварные и погибли храбрые."
A08:50E|???: "Золотой город сгниет под тенью Ворона."
A08:50F|???: "Царствие элиты вашей рушится."
A08:50G|???: "Даже величайший упадок не может пережить самый холодный мороз."
A08:50H|???: "Безумие песков способно поработить, но только не Скорпиона."
A08:50I|???: "Человек изменится, а вместе с ним и его самые глубокие страхи."
A08:50J|???: "Подземный мир распахнет свои врата."
A08:50K|???: " Великий холод проморозит твои кости, а твои враги будут смотреть".
A08:50L|???: "Будущее определенно, но не прошлое для тех, кто противится своей судьбе."
A08:ENEMY_INFANTRY|Вражеский Пехотинец
A08:ENEMY_STRUCTURE|Вражеская Постройка
A08:ENEMY_VEHICLE|Вражеская Техника
A08:TEXT|=======================================================================
A09:01|Задание выполнено.
A09:02|Здесь находится и крупнейший латиноамериканский научно-исследовательский центр,\nгде разрабатываются новые виды вооружения.
A09:03|Поскольку их флот занят в другом месте, мы смогли незаметно\nперебросить туда небольшой отряд прототипов.
A09:04|Сначала вы должны отыскать и вернуть наши гибридные башни.\nНаш флот будет ожидать сигнала в полной готовности.
A09:05|Затем вам поручается полностью уничтожить этот комплекс,\nчтобы нанести ущерб военной активности Конфедерации.
A09:06|Если вам удастся найти способ завладеть этим аэродромом,\nмы сможем отправить вам инженеров.
A09:07|В Тулуме, Юкатан, были обнаружены ранее потерянные прототипы\nГибридных башен компании Штейнтек.
A09:08|Задание: Уничтожьте силы Латинской Конфедерации и верните Гибридные башни.
A09:09|ВНИМАНИЕ - Обнаружен блокпост! Попытайтесь его обойти.
A09:10|ЦРУ принимало участие в неудавшемся восстании здесь несколько лет назад.
A09:11|ЧТО?! Они уничтожили башни и исследовательский купол, содержащие данные о проекте!
A09:12|То ли Советы так не хотели, чтобы мы их забирали, или произошло что-то еще.
A09:13|Возможно произошла ошибка, когда они пытались их включить или настроить.
A09:14|Это очень неприятно, но мы все равно должны продолжить миссию, несмотря ни на что.
A09:15|Задание: Уничтожить силы Конфедерации.
A09:16|Интригующе. Эти туннели могут позволить нашим войскам проникнуть\nв ранее недоступные районы джунглей.
A09:17|Если вы захватите этот радарный купол, мы сможем оказать вам поддержку.
A09:18|ЦРУ: "Бэйн? Я отказался от его поисков. Однако этот храм майя..."
A09:19|ВНИМАНИЕ - Конфедерация объявила на своих базах тревогу!
A09:20|В этих хранилищах Конфедераты, должно быть, хранят зажигательные средства.\nЗахватите или уничтожьте их.
A09:21|Дело плохо, русские усиливают конфедератов своим снаряжением.
A09:22|Враг занимается добычей и переработкой ядерных компонентов на этом предприятии.\nУничтожьте его.
A09:23|Эти заключенные должны быть борцами за свободу, восставшими против Конфедерации.
A09:24|Повстанец: "Проклятые коммунисты без всякой нужды сожгли наши дома и людей!"
A09:24A|Повстанец: "Мы сделаем все, чтобы отомстить им! Позвольте нам присоединиться к вашей борьбе!"
A09:24B|Повстанец: "Я призвал других борцов за свободу. Они уже в пути!"
A09:25|???: "Мне нужна последняя жертва. Одна лишенная рассудка."
A09:26|Захватив хранилище напалма, мы теперь можем сами производить эти новые дроны.
A09:27|???: "Nihil, Nihil, NIHIL!!!"
A09:28|???: "Да будет пролита кровь!"
A09:29|???: "КРОВИ БОГУ КРОВИ!"
A09:30|???: "Небеса краснеют от крови павших!"
A09:31|???: "Пробудитесь, мои хозяева!"
A09:32|Отлично. Теперь мы можем поддержать вас Ударом Меркурия и Целеуказанием.
A09:33|ЦРУ: "Бэйн? Я отказался от его поисков."
A09:34|Для этой операции КИ предоставила два своих особо ценных подразделения.
A09:35|Беспилотная машина-амфибия Тенгу оснащена Полем отрицания, которое
A09:35A|могут нейтрализовать вражеские атаки и превращать их в ремонт или лечение наших войск.
A09:36|Боевая черепаха - это тяжелый транспорт, в котором могут находится до четырех\nпассажиров которые могут вести огонь изнутри.
A09:37|Ледяной щит значительно увеличивает прочность брони транспортных средств ценой их обездвиживания.
A09:38|Похоже, что они испытывают свои новые дроны на гражданском населении, будьте осторожны.
A09:39|Сэр, мы высылаем вам поддержку. Ожидайте.
A09:TEXT|
A10:TEXT|
A11:TEXT|
A12:TEXT|
APRA2:ENEMY_SOLDIER|Вражеский Пехотинец
APRA2:ENEMY_STRUCTURE|Вражеская Постройка
APRA2:ENEMY_VEHICLE|Вражеская Техника
BRIEF:A01|В конце Второй Великой войны мы временно оккупировали Россию и назначили Александра Романова марионеточным премьером в надежде сохранить мир. Однако несколько лет спустя человек, известный под именем Юрий, стал главным советником Романова. Наши отношения начали ухудшаться, что вынудило нас увести войска. Тем временем наши разведывательные сети по всему миру одна за другой были утеряны, Южная Америка была захвачена местными коммунистами и возродилась в виде Латинской Конфедерации, а Китайская Народная Республика с каждым годом становилась все сильнее.\nКоминтерн был восстановлен, и мощь коммунистов была собрана.\nСегодня наши худшие опасения стали реальностью. Советские силы вторжения приближаются к американской земле со множества направлений, каким-то образом ускользая через все методы наблюдения. Любые попытки переговоров закончились неудачей, а наши системы МБР выведены из строя при загадочных обстоятельствах. Похоже, что они действительно хотят только уничтожить нас.\nВам поручено защищать Нью-Йорк. Есть большая вероятность, что они предпримут попытку убрать Статую Свободы, наш символ свободы. Специальный агент Таня, наш лучший оперативник, будет ожидать ваших приказов на поле боя. Долг зовет, командир. Пришло время готовиться к войне.\n\nЗадача: Следуйте инструкциям, полученным во время миссии.\n\nСпецагент Таня должна быть в строю до конца миссии.
BRIEF:A02|Возможно нам и удалось отстоять Нью-Йорк, но общем ситуация все также не очень хорошая. Советские Войска продолжают продвигаться вглубь нашей территории. К тому же ЕвроСоюз сообщил нам, что русские усилили Немецко-Польскую границу и сформировали крупную оборонительную линию, а на Тихоокеанском Фронте китайцы ведут все более агрессивные действия. А еще у нас есть информация о том что Конфедерация скоро нанесет удар и по мексикано-американской границе. Ухудшают ситуацию еще и то что Советские войска под командованием Генерала Владимира совершают налеты на наши авиабазы чтобы укрепить свое превосходство в воздухе. Но наша армия еще держится. Генерал Карвиль вышедший в отставку в своем родном штате - Техасе, теперь командует местной нац-гвардией и танковом батальоном у реки Рио-Гранде. Его силы истощены, но если мы отобьем авиабазу в Колорадо-Спрингс, то сможем поправить положение нашей авиации и использовать дополнительные силы для охраны южной границы, значительно облегчив генералу задачу отбивать  последующие атаки Конфедерации.\n\nСпециальный агент Таня будет направлена вместе с недавно получившим повышение капралом Шепардом, который доказал свои способности в Нью-Йорке, с небольшим отрядом для захвата авиабазы и уничтожения советских войск в этом районе.\n\nЗадача 1: Отбить часовню академии ВВС и авиабазу.\nЗадача 2: Уничтожить все советские войска в этом районе.\n\nСпецагент Таня и капрал. Шепард должны быть в строю, пока Часовня не будет отбита.
BRIEF:A03|Белый Дом вдруг замолчал, связь с Президентом потеряна, а наша база рядом с ними перестала выходить на связь. Мы шокированы тем что обнаружили советские сигнатуры вдоль Потомака, Советы каким-то образом прошли сквозь столичный охранный периметр, никого не потревожив, и окопались у Белого Дома. Но это еще не самое худшее, наши собственные войска были замечены марширующими рядом с Советскими, а гражданские похватали оружие и присоединились к ним! Все замерло в напряжении, и откуда-то из-под монумента Вашингтона доносится зловещий гул.\n\nВ Пентагоне царит хаос. Многие наши генералы дезертируют с угрожающей скоростью, а Советы захватили сердце страны без единого выстрела. Генерал Карвиль вернулся на свою прежнюю должность по приказу командования и приказал оцепить округ Колумбия, чтобы удержать ситуацию под контролем. Он поручил вам задание возглавить оперативную группу для расследования и разрешения этого кризиса. Чтобы ни происходило, мы должны вмешаться, пока ситуация не ухудшилась.\n\nЗадача 1: Найти источник всего происходящего в Вашингтоне.\nЗадача 2: Ожидайте дальнейших инструкций.
