LOADMSG:FASHES|Операция: Пепел, Место: Казахстан
FIDOY:51|ВНИМАНИЕ - Враг, использует новую технологию "Червячные переходы".
FIDOY:52|Враг встревожен. Мы должны торопиться.
FIDOY:43|Ресурсы здесь очень ограничены, используйте альтернативные источники их получения.
FIDOY:44|Есть также несколько технических нефтяных вышек, которые могут вам в этом помочь.
FIDOY:45|Статуи дракона оснащены лазерным оружием?
FIDOY:46|Совет: Здесь много технологических зданий, попробуйте их захватить.
FIDOY:47|Обнаружена пасхалка!
FIDOY:48|Охранники под действием постоянного "Железного Занавеса", избегайте их.
FIDOY:49|Мы получили место положения "Железного Занавеса", разрушение которого устранит эффект щита.
FIDOY:50|Мы не видели этот новый тип транспортных средств прежде. Может это для какой-то цели?
FIDOY:11|Устройство Железного Занавеса было разрушено и эффект щита снят.
FIDOY:12|Захват "Китайского Военного Штаба" даст нам доступ к геолокационным данным по всему городу.
FIDOY:13|Также поблизости есть "Платформа Технической Поддержки", она может "нам" помочь.
FIDOY:14|Разведка говорит, что поблизости находятся 2 станции ЭМИ, их уничтожение облегчит "наши" морские операции.
FIDOY:15|Все станции ЭМИ были уничтожены, флот готовится к прибытию.
FIDOY:16|ВНИМАНИЕ - Силы Эпсилон задействовали супероружие!
FIDOY:17|ВНИМАНИЕ - Китайские силы задействовали супероружие!
FIDOY:18|Ввиду критической ситуации "мы" решили задействовать протокол технологии "нашего" супероружия - "Творец Бурь".
FIDOY:19|Совет: Просто устраните патрулей в районе форпоста. Не вызывайте слишком много шума!
FIDOY:20|Червячные переходы противника прокладывают туннель. Уничтожение "Адепта" может остановить их.
FIDOY:21|Перемещение через червячные переходы остановлены.
FIDOY:22|Главный Адепт: "Если придет зима, весна будет далеко позади?"
FIDOY:23|Этот странный вертолет принадлежит к секретному советскому проекту. Почему он здесь?
FIDOY:24|Юнру: "Я отправляю вам "MADMAN". Вы должны использовать его."
FIDOY:25|Время до прибытия следующего "MADMAN":
FIDOY:26|"MADMAN" прибыл на поле битвы
FIDOY:27|Подкрепления "Последнего Бастиона" прибыли.
FIDOY:28|Теперь вы можете использовать "Синхронизацию Нановолокон".
FIDOY:29|Подкрепление "Крыльев Коронии" прибыли.
FIDOY:30|Это наша новейшая технология "Анаконда", которую можно использовать для массового убийства врагов.
FIDOY:31|Командный центр сил Эпсилона был разрушен, щит исчез.
FIDOY:32|Задача 2: Уничтожить командный центр Эпсилон и захватить Психический Усилитель.
FIDOY:33|Юнру: "Нам удалось перехватить контроль в Китае! Это была великая победа!"
FIDOY:34|Этот Маяк - ловушка! Враг пытается активировать Психический Усилитель! Нам нужно спешить!
FIDOY:35|Фин был госпитализирован.
FIDOY:36|Ализ была госпитализирована.
FIDOY:37|"Иркалла", кажется, была модифицирована ...
FIDOY:38|Психический Усилитель был разрушен. МИССИЯ ПРОВАЛЕНА.
FIDOY:39|ВНИМАНИЕ - над Запретным городом была обнаружена воздушная крепость "Иркалла"!
FIDOY:40|Флот прибыл. После того, как вы уничтожите "Подчинитель", мы построим порт в этом районе.
FIDOY:41|"Подчинитель" был уничтожен. Начато строительство порта.
FIDOY:42|Время до активации Психического Усилителя:
LOADBRIEF:FSTARTRAIN|Задача 1: Проникните в радиостанцию.\nЗадача 2: Развернуть и создать базу.\nЗадача 3: Уничтожить силы Эпсилон в этой области.\n\nСовет: Достаточно уничтожить вражеские Сборочные Цеха, чтобы враг отступил.
LOADBRIEF:FIDOY|Задача 1: Уничтожить Командный Центр Эпсилон.\nЗадача 2: Захватите Психический Усилитель.
LOADMSG:FSTARTRAIN|Операция: Начинается Дождь, Место: ???
LOADMSG:FIDOY|Операция: В Былые Дни, Место: Китай, Тибет
MAP:FSTARTRAIN|Фанатская Миссия - Начинается Дождь
MAP:FIDOY|Фанатская Миссия - В Былые Дни
FIDOY:01|Спаситель, настало время, чтобы спасти Китай.
FIDOY:10|Хорошая работа. Наши подкрепления в пути.
FIDOY:02|Психический Усилитель контролирует Китай, захватите его, чтобы перехватить контроль над этими территориями.
FIDOY:03|Командный центр Эпсилона защищен щитом в Запретном городе, вы должны сначала уничтожить его.
FIDOY:04|Не поднимайте шум! Устраните 4 патрульные команды поблизости.
FIDOY:05|Фин и Ализ прибыли, они помогут вам с задачей. Помните, не поднимайте шум.
FIDOY:FAILAB|Ализ погибла. МИССИЯ ПРОВАЛЕНА.
FIDOY:06|Будьте осторожны, не подходите близко к заставе. Устраните ближайшую патрульную команду Эпсилона.
FIDOY:07|Юнру: "Время начинать. Это должно быть сделано сейчас".
FIDOY:08|Будьте осторожны, чтобы не позволить врагам знать о нас, это приведет к раскрытию нашей операции!
FIDOY:09|Задача 1: Ликвидировать патрульные команды возле заставы.
FIDOY:FAILAA|Фин погиб. МИССИЯ ПРОВАЛЕНА.
FIDOY:FAILAC|Мы были обнаружены. МИССИЯ ПРОВАЛЕНА.
FSTARTRAIN:01|Изначально город был нашей военной базой, а теперь находится под контролем сил Эпсилон.
FSTARTRAIN:02|Настало время вернуть все назад.
FSTARTRAIN:03|Прежде чем начать атаку, нам нужно проникнуть на эту радиостанцию, чтобы получить больше информации.
FSTARTRAIN:04|Мы приложили много усилий, чтобы отправить эту команду в город.
FSTARTRAIN:05|Используйте "Дубликаторов" для устранения угроз и "Провидца" для проникновения на радиостанцию.
FSTARTRAIN:06|"Дубликатор" может копировать себя, взяв материал из уничтоженной пехоты, но это занимает время.
FSTARTRAIN:07|Задача 1: Проникнуть на радиостанцию.
FSTARTRAIN:08|- Подключение оперативного управления -
FSTARTRAIN:10|У нас нет больше "Провидцев", чтобы выполнить эту задачу. МИССИЯ ПРОВАЛЕНА.
FSTARTRAIN:11|Проникновение на радиостанцию. Чтобы избежать получения информации силами Эпсилон, "Провидец" самоуничтожится.
FSTARTRAIN:12|"Дубликатор" может лишь устранить угрозу по типу наземной пехоты. Избегайте танков и летающих тарелок.
FSTARTRAIN:13|Совет. "Провидцы" оснащены аэродвигателями, которые позволяют им перемещаться по поверхности воды.
FSTARTRAIN:14|Мы нашли конкретное местоположение 2 Пси-Маяков. Если вы их уничтожите, войска в городе присоединятся к нам.
FSTARTRAIN:15|Этот порт - хорошее место высадки.
FSTARTRAIN:16|Прибыл флот, который перевозит "наш" МСЦ. Очистите силы противника вдоль дороги для прибытия войск поддержки.
FSTARTRAIN:17|Сначала прибудет легкая техника, а другая транспортная команда отправит сюда тяжелую, но позже.
FSTARTRAIN:18|Команда поддержки прибыла.
FSTARTRAIN:19|Прибыли дополнительные войска поддержки.
FSTARTRAIN:20|Задача 2: Развернуть и создать базу
FSTARTRAIN:21|Они пришли. Это наша первая серийная партия "Левиафанов", пожалуйста, используйте их с умом.
FSTARTRAIN:22|Пси-Маяк был уничтожен. Защитники в городе вернули контроль над своим разумом.
FSTARTRAIN:23|Наша тяжелая техника прибыла.
FSTARTRAIN:25|Войска Эпсилон пытаются захватить гражданские здания в городе, чтобы остановить наше продвижение вперед.
FSTARTRAIN:26|Используйте этих "Птеранодонов", чтобы быстро уничтожить вражеские здания.
FSTARTRAIN:27|МСЦ был уничтожен, мы были вынуждены приостановить эту миссию. МИССИЯ ПРОВАЛЕНА.
FSTARTRAIN:28|Будьте бдительны. Силы Эпсилон объединят технологии двух армий для борьбы с "нами".
FSTARTRAIN:29|Странно, эта база не находится под контролем Пси-Маяка, она построена силами Эпсилон по китайской технологии!
FSTARTRAIN:30|Мы нашли исследовательскую базу в городе, после того, как вы уничтожите 2 Пси-Маяка, мы сможем ей управлять.
FSTARTRAIN:31|Это только создает угрозу для нас. Уничтожьте это.
FSTARTRAIN:33|Задача 3: Ликвидировать силы Эпсилон в этой области
FSTARTRAIN:34|Водитель: "Высадка здесь? Вы не шутите, командир?"
FSTARTRAIN:35|Хорошая мысль, командир. Мы будем искать информацию, которая ценна для нас.
FSTARTRAIN:36|Мы нашли технологию прототипов "Киборгов". Теперь вы можете использовать их.
FSTARTRAIN:37|Эпсилон в этой области имеет абсолютное преимущество силы, будьте осторожнее.
FSTARTRAIN:38|Хотя "Провидец" снабжен броней, не рекомендуется вести его сюда.
FSTARTRAIN:39|Используйте этих "Убийц Гигантов", чтобы сражаться против воздушных сил противника.
FSTARTRAIN:40|Предупреждение - Найдены Стрекозы-Беспилотники, обязательно используйте транспортные суда, чтобы избежать их!
FSTARTRAIN:41|Учитывая большое количество сил Эпсилон в этой области, вам разрешено строить "Творец Бурь".
FSTARTRAIN:42|Учитывая большое количество сил Эпсилон в этой области, вам разрешено строить Источник Шторма.
FSTARTRAIN:43|Ах ... этот шторм был отправлен вами.
FSTARTRAIN:44|Отряд дополнительных "Убийц Гигантов" прибыл.
FSTARTRAIN:32|Как профессиональный разведчик, я могу ответственно доложить, что захват этого вертолета бесполезен.
FSTARTRAIN:24|Хорошо, командир. Это лишь вопрос времени, когда оставшиеся войска Эпсилона падут.
FSTARTRAIN:09|Это совсем не весело, командир!
FIDOY:00|Юрий: "Я не беспокоил вас. Почему вы напали на меня?"
POST:FSTARTRAIN|...
POST:FIDOY|...
BRIEF:FVIP|Войска «Лидера» делают последние приготовления к эвакуации из Аляски, и «мы» должны встретить VIP'а в этом месте. Его машина вот-вот прибудет. «Мы» можем дать вам не так много войск для поддержки ваших действий. Юрий усиливает осаду на китайскую армию в регионе, китайская база располагает технологиями, которые должны принадлежать нам. Захватите их так быстро, как можете, и не попадите в руки сил Эпсилон.\n\nЗадача 1: Обеспечить безопасное прибытие VIP'а на вертолетную площадку.\nЗадача 2: Захватить прототип Наноцентрифуги.
LOADMSG:FVIP|Операция: ВИП, Место: США, Аляска
LOADBRIEF:FVIP|Задача 1: Обеспечить безопасное прибытие VIP'а на базу.\nЗадача 2: Захватить прототип Наноцентрифуги.
FVIP:01|- Передача данных по сети завершена -
FVIP:02|Войска «Лидера» отступают, и «Мы» пришли сюда, чтобы приветствовать особого гостя.
FVIP:05|Обнаружена заброшенная китайская база, "Инженеры" скоро прибудут сюда.
FVIP:06|Захват Аэропорта позволит контролировать "Станцию Управления ЭМИ".
FVIP:03|Китайская армия была атакована силами Эпсилон, «мы» должны действовать быстро, наши силы ограничены.
FVIP:04|Туннель был перекрыт камнями, здесь не пройти.
FVIP:07|Аэропорт захвачен. Установка связи... «Лидер» сообщил «Нам», что в этом районе должна быть база Тихоокеанского Фронта.
FVIP:08|Пси-Маяк уничтожен. Тихоокеанский Фронт присоединился к нам. VIP почти прибыл, обеспечьте его безопасность.
FVIP:09|Задача 1: Обеспечить безопасное прибытие VIP'а на вертолетную площадку.
FVIP:10|VIP прибыл.
FVIP:11|VIP благополучно прибыл. Похоже эскорт это силы Ячейки Скорпион, Рашиди приветствует «Нас».
FVIP:12|На китайской базе создан прототип Наноцентрифуги.
FVIP:13|Машина VIP'а была уничтожена! МИССИЯ ПРОВАЛЕНА.
FVIP:14|Примечание: Силы Эпсилон создали неизвестное супероружие, настало время действовать.
FVIP:16|Осталось времени до прибытия VIP'а:
FVIP:17|«Мы» захватили прототип Наноцентрифуги. МИССИЯ ВЫПОЛНЕНА.
FVIP:18|Особый транспорт, теперь доступен для строительства, он эффективен против пехоты и зданий.
FVIP:19|На китайском МСЦ есть бомбы! Это ловушка!
FVIP:15|«Наши» в сочетании с китайскими технологиями создали бомбардировщики "МигИкс", их ракеты могут сносить здания.
MAP:FVIP|Фанатская Миссия - ВИП
POST:FVIP|Операция была очень успешной и технические данные из Наноцентрифуги были загружены в Суперкомпьютер. "Парадокс" союзников и силы Эпсилон ускоряют темп действий, «Мы» должны быть готовы.
BRIEF:FWFTF|Товарищ командир, согласно шпионской разведке, Тихоокеанский фронт сформировал технологическую базу будущего, нам нужно проникнуть в этот технологический центр и перехватить новые технологии пока они не применены против нас. Будьте осторожны похоже мы не единственные кто узнал про эту технологию.\n\nЗадача 1: Проникнуть в Тех.Центр союзников.\nЗадача 2: Уничтожить форпост.\nЗадача 3: Захватить 6 заводов по производству "Танков Будущего".\nЗадача 4: Уничтожить войска союзников.\nПримечание: Не один из заводов по производству "Танков Будущего" не должен быть уничтожен.
LOADBRIEF:FWFTF|Задача 1: Проникнуть в Тех.Центр союзников.\nЗадача 2: Уничтожить форпост.\nЗадача 3: Захватить 6 заводов по производству "Танков Будущего".\nЗадача 4: Уничтожить войска союзников.\nПримечание: Не один из заводов по производству "Танков Будущего" не должен быть уничтожен.
LOADMSG:FWFTF|Операция: Война за Будущее, Место: ???, Китай
MAP:FWFTF|Фанатская Миссия - Война за Будущее
POST:FWFTF|...
FWFTF:01|Тихоокенский Фронт сформировала технологическую базу будущего, нам нужно проникнуть в этот Тех.Центр.
FWFTF:02|Здесь есть 2 "Шпиона", чтобы помочь вам завершить эту миссию.
FWFTF:03|Эта миссия очень рискованная, мы рассчитываем только на успех, провал недопустим!
FWFTF:04|Задача 1: Проникнуть в Тех.Центр союзников.
FWFTF:05|Что? Похоже, у нас проблемы.
FWFTF:06|Эти танки могут помочь нам решить их.
FWFTF:07|Не хорошо, похоже, Робот-Танк обнаружил "наше" местонахождение.
FWFTF:08|Что вы делаете? Как такое простое проникновение не удалось? МИССИЯ ПРОВАЛЕНА.
FWFTF:09|Проникновение в Тех.Центр завершено, следующий шаг - захват форпоста.
FWFTF:10|Задача 2: Уничтожить форпост.
FWFTF:11|Эти "Оперативные Центры" не должны являются проблемой для "нас".
FWFTF:12|Наша цель - это захват заводов. Каким образом? Это не должно быть тяжело для "нас".
FWFTF:13|Задача 3 и 4: Захватить 6 заводов по производству Танков Будущего и уничтожить врага.
FWFTF:14|Ты что неисправен? "Наша" цель - это захват заводов, а не их уничтожение! МИССИЯ ПРОВЛЕНА.
FWFTF:15|Время до прибытия Советских войск на поле боя:
FWFTF:16|Предупреждение! Советская армия собирается начать полномасштабную атаку!
FWFTF:17|Оперативный Центр врага был уничтожен!
FWFTF:18|Завод А захвачен.
FWFTF:19|Завод Б захвачен.
FWFTF:20|Завод В захвачен.
FWFTF:21|Завод Г захвачен.
FWFTF:22|Завод Д захвачен.
FWFTF:23|Завод Е захвачен.
FWFTF:24|Предупреждение! Советская армия использует Танки "Апокалипсис"!
FASHES:28|Вы потеряли транспортер, безопасная доставка Инженера невозможна... МИССИЯ ПРОВАЛЕНА.
FDBM:LOSE|Вас предупреждали! Наш план раскрыт. МИССИЯ ПРОВАЛЕНА.
BRIEF:FSOTM|Основываясь на обнаруженных пространственно-временных флуктуациях были обнаружены устройства "червоточин" расположенные на Марсе. После активации червоточины будут связаны с базой на земле, откуда будут прибывать военные корабли противника. Нужно уничтожить устройство червоточин как можно скорее, чтобы оно не отправило на Марс еще больше вражеских войск...\n\nЗадача 1: Разрушить "Систему Защиты Спата" и уничтожить все "Устройства Червоточин".\nЗадача 2: Уничтожить все силы противника.
LOADBRIEF:FSOTM|Задача 1: Разрушить "Систему Защиты Спата" и уничтожить все "Устройства Червоточин".\nЗадача 2: Уничтожить все силы противника.
LOADMSG:FSOTM|
MAP:FSOTM|Фанатская Миссия - Червоточина на Марсе
FSOTM:01|Спаситель, "Мы" приземлились на Марсе.
FSOTM:02|Основываясь на обнаруженных пространственно-временных флуктуациях,
FSOTM:37|В настоящее время эти Червоточины, находятся в состоянии покоя, но в любой момент могут активироваться.
FSOTM:04|После активации Червоточины будут связаны с базой на земле, откуда будут прибывать военные корабли противника.
FSOTM:05|У сил Эпсилон есть система обороны, которая не подпускает наш материнский корабль к Марсу,
FSOTM:07|"Мы" должны уничтожить Устройства Червоточин как можно скорее, чтобы они не отправили на Марс
FSOTM:38|В отличие от Луны, Марс имеет атмосферу и достаточно ветра для работы наших ветровых систем и оборудования.
FSOTM:09|Гравитация здесь также намного больше, чем на Луне, и наши войска могут двигаться свободно.
FSOTM:10|Задача 1: Разрушить "Систему Защиты Спата" и уничтожить все "Устройства Червоточин".
FSOTM:11|В старом русле реки есть залежи ресурсов, но они очень скудны.
FSOTM:12|Внимание: Обнаружены временные колебания!
FSOTM:13|Червоточины открываются!
FSOTM:15|Внимание: Обнаружен Подчинитель!
FSOTM:16|Внимание: На Марс приближается солнечная буря, которая может повлиять на нашу систему управления.
FSOTM:18|Надвигается солнечная буря, наша система управления нарушена...
FSOTM:19|"Мы" быстро восстанавливаем систему управления и скоро должны все наладить.
FSOTM:20|Система управления была восстановлена.
FSOTM:21|"Мы" преобразовали "Кетцаль", теперь он стал более убойным, однако стоимость его производства возросла.
FSOTM:22|"Система Защиты Спата" разрушена, наше новое подкрепление приближается.
FSOTM:23|Все Устройства Червоточин уничтожены. Задача выполнена.
FSOTM:25|Врагов на Марсе нужно уничтожить.
FSOTM:24|Задача 2: Уничтожить все силы противника.
FSOTM:26|Кажется, что кто-то приземлился на Марс быстрее "Нас".
FSOTM:47|???:"Вы заметили, что даже люди, утверждающие, что 'Все предопределено' и 'Мы ничего не можем с этим сделать
FSOTM:30|Космические силы противника разгромлены. Космос "Наш".
FSOTM:29|Настало время последней битвы на земле...
FSOTM:31|Новые технологии были доставлены с материнского корабля в "наш" командный пункт.
FSOTM:14|"Канюк" был оснащен лазерным оружием, чтобы им было легче производить атаки на Марсе.
FSOTM:32|Т.к. Устройство Червоточины было разрушено, Червоточина схлопнулась.
FSOTM:33|Внимание: Воздушная Крепость "Иркалла" приближается!
FSOTM:34|"Мы"" обнаружили, что противник имеет возможность связываться с марсианским флотом через радиовышку,
FSOTM:27|Это наша новая техника - "Таран".
FSOTM:36|Радиовышка была разрушена, связь противника с внешним миром нарушена.
FSOTM:39|"Провидцы" теперь обладают способностями "Инженеров".
FSOTM:41|Не приближайтесь к этим "Саламандрам".
FSOTM:42|"Мегалодон" был улучшен.
FSOTM:43|Солнечная буря приближается. Держитесь!
FSOTM:44|Почему ты такой глупый "ИИ". МИССИЯ ПРОВАЛЕНА.
FSOTM:45|Фин был эвакуирован с поля боя, т.к. нуждается в лечении.
FSOTM:46|Элиз была эвакуирована с поля боя, т.к. нуждается в лечении.
FSOTS:01|Спаситель, "Мы" близки к Марсу.
FSOTS:02|Но сначала "Мы" должны уничтожить вражеские военные корабли в космосе.
FSOTS:03|"Мы" отправим большое количество боевых кораблей для борьбы с ними.
FSOTS:04|Это улучшенный "Птеранодонт", способный работать в космосе.
FSOTS:05|Наша миссия - уничтожить все военные корабли противника в этом районе.
FSOTS:06|Внимание: Приближается огромное количество вражеских кораблей!
FSOTS:07|Нужно найти командный корабль противника и уничтожить его.
FSOTS:08|Вражеский космический флот разбит, теперь "Мы" можем приземлиться на Марс.
FSOTS:09|Внимание: Червоточина открывается!
FSOTS:10|Командный корабль противника уничтожен.
FSOTS:11|Задача: Уничтожить все военные корабли противника.
FSOTS:13|Это наши последние "Птеранодонты". Пожалуйста, используйте их с умом.
FSOTS:14|Здесь так много вражеских кораблей, "Нам" нужно найти другой путь.
FSOTS:15|У сил противника должен быть командирский корабль для управления ими, "Мы" пытаемся его найти.
FSOTS:16|Наши боевые корабли серьезно пострадали, но "Мы" засекли положение командного корабля противника.
FSOTS:17|Пожалуйста, наберитесь терпения, найдется способ разрешить это перетягивание каната.
FSOTS:12|У "Нас" нет военных кораблей, чтобы завершить эту миссию. МИССИЯ ПРОВАЛЕНА.
FSOTM:03|"Мы" успешно обнаружили Устройства Червоточин, расположенные на Марсе.
FSOTM:28|"Мы" должны поторопиться.
FSOTM:06|Эта "Система Защиты Спата" защищает Устройства Червоточин и должна быть уничтожена.
FSOTM:08|еще больше вражеских войск. Снаряжение наших героев, Фина и Элиз, было модернизировано.
FSOTM:40|Конечно, это также выгодно войскам противника.
FSOTM:48|чтобы изменить это', смотрят, прежде чем перейти дорогу."
FSOTM:35|Если мы сможем ее уничтожить, то сможем сорвать прибытие марсианских боевых кораблей противника.
FSOTM:17|Будьте начеку.
MAP:FSOTS|Фанатская Миссия - Червоточина В Космосе
LOADMSG:FSOTS|
LOADBRIEF:FSOTS|Задача: Уничтожить все военные корабли противника.
BRIEF:FSOTS|На пути к красной планете нас настигло небольшое препятствие, нужно выяснить откуда берется это армада вражеских кораблей и зачистить район. Нас ждут более важные дела на Марсе.\n\nЗадача: Уничтожить все военные корабли противника.
FSOTS:18|Враг приближается к этому району. Пожалуйста, подготовьтесь к атаке.
NAME:SPARKDOX|Устройство Червоточин
BRIEF:FNIGHTRE|Под руководством Юнру "мы" разработали оружие, способное напрямую уничтожить "Башню Омега" в Антарктиде. Работа над оружием близилась к завершению и оружие было готово к размещению на искусственном острове в Тихом океане. Пока он сохраняет достаточно энергии, мы можем напрямую уничтожить "Омега-девайс" в Антарктиде и освободить мир от Пси-контроля . Этот остров хорошо защищен и о нем мало кто знает. Не так давно мы потеряли связь с островом и обнаружили, что флот Эпсилона зашел в воды, где расположен искусственный остров. Подозреваем, что среди нас шпион, но теперь нам нужно срочно связаться с островом. Наши элитные силы направляются на остров, и это ваше командование. Командующий, небольшой передовой отряд сил Эпсилон возглавил поиск местонахождения этого острова. Вы должны связаться с нашей военной базой на этом острове до прибытия основных войск Эпсилон и провести достаточные приготовления к обороне. Из-за неизвестных условий на острове все задачи вашей миссии будут поступать по ходу ваших действий.\n\nЗадача: Выполнить все указания поступающие во время миссии.
LOADMSG:FNIGHTRE|Операция: Возрождение Кошмара, Место: искусственный остров в Тихом океане
LOADBRIEF:FNIGHTRE|Задача: Выполнить все указания поступающие во время миссии.
FNIGHTRE:22|Командир, мы позади на один шаг.
FNIGHTRE:10|Передовые войска Эпсилон разместили здесь две базы.
FNIGHTRE:11|По данным разведки, первая волна наступления сил Эпсилон начнется через 5 минут.
FNIGHTRE:12|У нас мало времени, командующий.
FNIGHTRE:13|Ваша первая задача: Прибыть базу с "Творцом Бурь".
FNIGHTRE:14|Наша оперативная группа достигла этого пляжа, они не должны умереть, прежде чем достигнут базы.
FNIGHTRE:15|Пожалуйста, действуйте быстро, командир.
FNIGHTRE:16|----- Соединение с полем боя -----
FNIGHTRE:17|Задача 1: Прибыть на базу с "Творцом Бурь".
FNIGHTRE:20|Внимание: Первая волна наступления сил Эпсилон началась!!!
FNIGHTRE:21|Установка связи и получение контроля над базой.
FNIGHTRE:23|Источник питания "Творца Бурь" был спрятан под землей, люди Эпсилон не смогут его найти.
FNIGHTRE:24|Ваша вторая задача - защитить "Творец Бурь", пока он не будет готов к использованию.
FNIGHTRE:25|Перезарядка "Творца Бурь" занимает около 30 минут.
FNIGHTRE:26|«Творец Бурь» начал заряжаться.
FNIGHTRE:27|Армия сил Эпсилон вторглась на главную базу!
FNIGHTRE:28|Плохие новости, войска главной базы сдались силам Эпсилон!!!
FNIGHTRE:29|Мы получили подкрепление от американских повстанцев.
FNIGHTRE:30|Мы получили подкрепление от советского сопротивления.
FNIGHTRE:31|Мы получили подкрепление из нашего "Бастиона".
FNIGHTRE:32|У нас есть спутниковый снимок этого места.
FNIGHTRE:33|"Мы" получили дополнительное подкрепление.
FNIGHTRE:34|Командир главной базы передал вам командование базой.
FNIGHTRE:36|По данным разведки, вторая волна наступления сил Эпсилон начнется через 12 минут.
FNIGHTRE:37|Внимание: Вторая волна наступления сил Эпсилон началась!!!
FNIGHTRE:38|По данным разведки, третья волна наступления сил Эпсилон начнется через 7 минут.
FNIGHTRE:39|Внимание! Третья волна наступления сил Эпсилон началась!!!
FNIGHTRE:40|По данным разведки, последняя волна наступления сил Эпсилон начнется через 11 минут.
FNIGHTRE:41|Внимание: Последняя волна наступления сил Эпсилон началась!
FNIGHTRE:42|Великая Буря вот-вот начнется!
FNIGHTRE:43|(БУУУМ!!) "Башня Омега" была уничтожена!
FNIGHTRE:44|Китайская армия передала вам командование.
FNIGHTRE:45|Мы получили указание от нашего начальства, что нам необходимо это мощное супероружие.
FNIGHTRE:46|Это может обеспечить нам более мощную огневую поддержку в будущих сражениях.
FNIGHTRE:47|И эта база сил Эпсилон на юге представляет угрозу для него.
FNIGHTRE:48|Ваша задача уничтожить ее.
FNIGHTRE:49|Вы можете использовать военно-морской флот Китая в этом районе, чтобы захватить контроль над морем.
FNIGHTRE:50|Но будьте осторожны. Флот сил Эпсилон здесь нельзя недооценивать.
FNIGHTRE:51|Задача 3: Уничтожить базу Эпсилон на южном острове.
FNIGHTRE:52|Угроза в лице сил Эпсилон устранена.
FNIGHTRE:53|Все цели миссии достигнуты.
FNIGHTRE:35|Несмотря на то, что силы Эпсилон были изгнаны из этого моря...
FNIGHTRE:18|У нас нет никакой гарантии, что они не атакуют это разрушительное оружие снова.
FNIGHTRE:19|Мы будем искать подходящую возможность, чтобы переместить "Творец Бурь" в безопасное место.
FNIGHTRE:02|"Творец Бурь" уничтожен! МИССИЯ ПРОВАЛЕНА.
FNIGHTRE:03|Три "Испарителя" были повреждены, отправьте в них Инженеров, чтобы их снова можно было использовать.
FNIGHTRE:04|Фин был убит! МИССИЯ ПРОВАЛЕНА.
FNIGHTRE:05|Ализ была убита! МИССИЯ ПРОВАЛЕНА.
FNIGHTRE:06|Ураган был убит! МИССИЯ ПРОВАЛЕНА.
FNIGHTRE:07|Плохие новости, командующий, войска Тихоокеанского фронта готовятся к наступлению на нас.
FNIGHTRE:08|Внимание: Начинается наступление Тихоокеанского Фронта!
FNIGHTRE:09|Внимание: Тихоокеанский Фронт использует старые хронотелепорты для переброски своих сил!
FNIGHTRE:01|Американские повстанцы пообещали продолжать предоставлять нам подкрепления.
FNIGHTRE:TEAM1|Танк "Бульдог" x2\nБМП "Страйкер" x1
FNIGHTRE:TEAM2|Танк "Абрамс" х2
FNIGHTRE:TEAM3|"Орудие Афина" x2
FNIGHTRE:TEAM4|Вертолет "Ястреб" x2
MAP:FNIGHTRE|Фанатская миссия - Возрождение Кошмара
POST:FNIGHTRE|Юнру: «От имени всех сил анти-эпсилонской коалиции я хотела бы выразить вам благодарность, командующий. Ваше превосходное командование позволило «Творцу Бурь» иметь достаточно времени, чтобы перезарядиться и уничтожить "Омега-девайс". Миллионная армия Китая в ожидании. Теперь пришло время сказать «нет» Эпсилону».
FNIGHTRE:54|Задача 2: Защищать "Творец Бурь", пока он не активируется.
MAP:FRETURN|Фанатская Миссия - Возвращение в Кашмир
LOADMSG:FRETURN|Операция: Возвращение в Кашмир, Место: Кашмир
LOADBRIEF:FRETURN|Задача 1: Вернуть заброшенную Китайскую базу.\nЗадача 2: Защищать Атомный Центр до завершения передачи данных.\nЗадача 3: Ожидайте дальнейших инструкций.
POST:FRETURN|Мы возобновили технологию "Железного Дракона", это важно для нас. Силы Эпсилон все еще отчаянно атакуют штаб Последнего Бастиона на Аляске. Чтобы ослабить давление, мы должны как можно скорее расширить фронт битвы.
BRIEF:FRETURN|Когда мы покинули Кашмир, лидер подверглась нападению Китая, Латинской Конфедерации и сил Эпсилона. И во время этой битвы мы утратили технологию "Железного Дракона". Мы думали, что это мощное оружие утеряно. Однако, согласно разведданным, которые мы недавно получили, «Атомный Центр» на заброшенной китайской базе все еще хранит чертежи "Железного Дракона". Этот Атомный Цент оказался далеко от взрыва и остался цел.\nПо мнению лидера, возобновление технологии "Железного Дракона" даст нам множество преимуществ в борьбе с силами Эпсилон. Последний Бастион находится под большим давлением, верните эту технологию и начните диверсионную операцию, чтобы избежать невыгодного положения. На эту операцию, мы отправим двух наших лучших солдат - Фина и Ализ. Поскольку они являются ключом этой миссии, они не должны погибнуть.\n\nЗадача 1: Вернуть заброшенную Китайскую базу.\nЗадача 2: Защищать Атомный Центр до завершения передачи данных.\nЗадача 3: Ожидайте дальнейших инструкций.
