DESC:ABLUT|Blut Royale (A)
NAME:HCAN|Орудие Гидра
NAME:HCRUIS|Линкор Трезубец
NAME:HEADQUATERS|Штаб Эпсилон
NAME:HEAVYTANK|Тяжелый Танк
NAME:HELIX|Часовой
NAME:HERO1|Ковбой
NAME:HERO2|Качок
NAME:HERO3|Герой
NAME:HIJACKER|Угонщик
NAME:HINATECH|Китайский Штаб
NAME:HMMV|Хамви
NAME:HOPL|Гоплит
NAME:HOPLITE|Гоплит
NAME:HORVZ|Боевой Рудокоп (Разгружается)
NAME:HOVERTANK|Танк Каппа
NAME:HOVR|Реактивный Транспорт
NAME:HOWI|САУ Зефир
NAME:HTK|Вездеход
NAME:HUMMER|Гиена
NAME:HYENA|Гиена
NAME:ICBM|Тополь-М
NAME:ILLUSION|Иллюзия
NAME:IMMO|Испепелитель
NAME:INFC|Инфектор
NAME:INFECT|Танк Инфектор
NAME:INFECTION|Инфекция
NAME:INITIATION|Psyvolution
NAME:INTRUDER|Лазутчик
NAME:INVADER|Посягатель
NAME:IONCANNON|Ионная Пушка
NAME:IONSTORM|Пси-Шторм
NAME:IONSTORMD|Время вышло. Победил действующий Царь Горы.
NAME:IRAQFLAG|Флаг Ирака
NAME:IRAQZ|Ирак
NAME:IRON|Неуязвимость
NAME:IRONACTIVE|ВНИМАНИЕ - Включен Железный Занавес!
NAME:IRR|Загрязнитель
NAME:ITINERIS|Itineris
NAME:JACKAL|Шакал
NAME:JATECH|Башня ФьючерТек
NAME:JEEP|Джип
NAME:JTNK|Ударный Танк Ягуар
NAME:JUGGER|Джаггернаут
NAME:KAMAZ|Камаз
NAME:KAMS|Kaamos Cannon
NAME:KANGAROO|Кенгуру
NAME:KAOS|Чумной Клещ
NAME:KEN|Hellhound Kennel
NAME:KENNL|Конура
NAME:KEYBLD|Устройство Судного Дня
NAME:KHANINF|Воин
NAME:KHANTANK|Неизвестный Танк
NAME:KICKASS|Fort Kickass
NAME:KINAD|Kinetic Admin
NAME:KINETICBARRIER|Кинетический Барьер
NAME:KIS|Ученый К.И.
NAME:KOREAFLAG|Флаг Южной Кореи
NAME:KSTARF|Авиаудар
NAME:KWHALE|Кит-Убийца
NAME:LANC|Lancer
NAME:LCRF|Десантный Корабль Мореход
NAME:LIBRA|Либра
NAME:LIBRACLONES|Клоны Либры
NAME:LION|Лев
NAME:LTNK|Легкий Танк
NAME:LUYA|Luyang Missile Destroyer
NAME:LYBIAFLAG|Флаг Ливии
NAME:MACHINERY|Гражданский Ангар
NAME:MAGNETICSTORM|Магнитная Буря
NAME:MAMM|Танк Апокалипсис
NAME:MANTIS|Наблюдатель
NAME:MARA|Мародер
NAME:MASTERMIND|Повелитель Мысли
NAME:MERCURY|Станция Связи С Меркурием
NAME:MERCURYSTRIKE|Удар Меркурия
NAME:MGG|Мобильный Генератор Разрыва
NAME:MGTK|Танк Мираж
NAME:MIDAS|Неисправный Тополь-М с МБР на борту
NAME:MIG2|МиГ
NAME:MIGSPY|Mig Transport
NAME:MILT|Ополчение
NAME:MINDHAZE|Кольцо Тени
NAME:MINEDROP|Десант
NAME:MINERDROP|Miner Drop
NAME:MIR3|Caustic Tank
NAME:MIR4DR11X|Passing the 5th Side (4vs1)
NAME:MLRS|Rapier MLRS
NAME:MNTRUSHX|Mount Rush More (3vs2)
NAME:MODEV|Устройство Омеги Разума
NAME:MOGILA|Illusion Core
NAME:MOLE|Mole Machine
NAME:MOLEBOMB|Бомба-Крот
NAME:MOMOV|Рекламный Щит Command & Conquer
NAME:MORALES|Моралес
NAME:MORTA|Тесла-Минометчик
NAME:MOTHER|Геенна
NAME:MOTHRA|Ворон
NAME:MOTOR|Минометный Квадроцикл
NAME:MOTORAMBUSH|Моторизированная Засада
NAME:MPAD|Mobile Support Airpad
NAME:MRAHN|Mutated Rahn
NAME:MRM|Передвижной Исследовательский Модуль
NAME:MTNK|Средний Танк Кавалер
NAME:MUTA|Мутант
NAME:MUTA2|Brutation
NAME:MUTATION|Разрыв ДНК
NAME:MWF|Кулак Сталина
NAME:NAAIRB|Советская Авиабаза
NAME:NAAIRBB|Air Control Upgrade
NAME:NAAZT1|Ацтекский Храм
NAME:NABCAN|Blast Turret
NAME:NACSTB01|Брошенный Перерабатывающий Комбинат
NAME:NADEPT|Советская Станция Техобслуживания
NAME:NADRON|Ремонтный Кран
NAME:NAFIST|Развернутый Кулак Сталина
NAME:NAFLAM|Огнеметная Турель
NAME:NAFLMT|Огнеметная Башня
NAME:NAHALL|Развернутый Автобус Эйнштейна
NAME:NAHALLM|Автобус Эйнштейна
NAME:NAHAMM|Защитная Система Молот
NAME:NAHOSP|Полевой Госпиталь
NAME:NAHPAD|Вертолетная Площадка
NAME:NAINC|Single Core Nuclear Reactor
NAME:NAINCI|Hellstorm Turret
NAME:NAINDP2|Промышленное Предприятие
NAME:NAIRON|Генератор Железного Занавеса
NAME:NAMISL|Ядерная Ракетная Шахта
NAME:NAPSIS|Пси-Сенсор
NAME:NAPSYB1|Неизвестное Сооружение
NAME:NARADR|Радарная Башня
NAME:NASAM|ЗРК Патриот
NAME:NATECHC|Военная Лаборатория
NAME:NATECHZ|Дворец
NAME:NATEK|Атомный Центр
NAME:NATRAP|ЭМИ Мина
NAME:NAWALL|Стена Крепости
NAME:NAWEAPZ|Советский Военный Завод
NAME:NAYARD|Советская Верфь
NAME:NAYARDX|Советская Верфь
NAME:NGHT|Acolyte
NAME:NUKE|Ядерный Удар
NAME:NUKEACTIVE|ВНИМАНИЕ - Запущена Ядерная Ракета!
NAME:OADES|Isle of Oades (2-4)
NAME:OADES2|Isle of Oades (2-4)
NAME:OBL|Убийца Танков
NAME:OBSERVER|Наблюдатель
NAME:OILTANKER|Танкер-Нефтевоз
NAME:OILTRUCK|Нефтевоз
NAME:OREMINER|Рудокоп
NAME:OVERCHARGE|Перегрузка
NAME:OXID|Окислитель
NAME:PACIFICFRONT|Тихоокеанский Фронт
NAME:PALADIN|Железный Дракон
NAME:PARA|США
NAME:PARA2|Десант
NAME:PARA3|Десант
NAME:PARABOMBS|Авиаудар
NAME:PATRON|Покровитель
NAME:PCV|МСЦ Эпсилон
NAME:PDPLANE|Грузовой Самолет
NAME:PDPLANEZ|Грузовой Самолет
NAME:PENTGENX|Генерал
NAME:PHAL|Phalanx Tank
NAME:PHAS|Valkyrie Transport
NAME:PIG|Свинья
NAME:PIRANHA|Подлодка Пиранья
NAME:PLAG|Разносчик Чумы
NAME:POLISHFLAG|Флаг Польши
NAME:PRISONER|Тюремный Груз
NAME:PROPTR|Грузовик Оповещения
NAME:PROTOPCV|Прототип МСЦ
NAME:PSICOM|Пси-Коммандо
NAME:PSICORPS|Пси-Корпус
NAME:PSYBREADY|Конец игры - Пси-Маяк будет готов через:
NAME:PSYD|Подчинение
NAME:PTROOP|Боец Пси-Корпуса
NAME:QTNK|Легкий Танк Богомол
NAME:RAGAAAGUN|Старая Зенитка
NAME:RAGAAPP|Старая Продвинутая Электростанция Альянса
NAME:RAGABARR|Старые Казармы Альянса
NAME:RAGADOME|Старый Радар Альянса
NAME:RAGAFACT|Старый Военный Завод Альянса
NAME:RAGAPDOX|Старая Хроносфера
NAME:RAGAPWR|Старая Электростанция Альянса
NAME:RAGAREF|Старый Перерабатывающий Комбинат Альянса
NAME:RAGARGAP|Старый Генератор Разрыва
NAME:RAGE|Ярость
NAME:RAGEACTIVE|ВНИМАНИЕ - Активирован Генератор Ярости!
NAME:RAGEINDUCTOR|Генератор Ярости
NAME:RANAAPP|Старая Советская Продвинутая Электростанция
NAME:RANACONY|Старый Сборочный Цех
NAME:RANADOME|Старый Советский Радар
NAME:RANADPT|Старая Станция Техобслуживания
NAME:RANAFACT|Старый Советский Военный Завод
NAME:RANAFLMT|Старая Огнеметная Башня
NAME:RANAHELI|Старая Вертолетная Площадка
NAME:RANAICUR|Старый Генератор Железного Занавеса
NAME:RANAPILE|Старые Советские Казармы
NAME:RANAPWR|Старая Советская Электростанция
NAME:RANAREF|Старый Советский Перерабатывающий Комбинат
NAME:RANASAIR|Старый Советский Аэродром
NAME:RANASAMT|Старый ЗРК
NAME:RANATCOIL|Старая Тесла-Катушка
NAME:RANATEK|Старый Советский Технологический Центр
NAME:RAVA|Тюремная Машина Дракув
NAME:RAVEN|Ворон
NAME:RAVENS|Ворон-разведчик
NAME:RELAY|Старая Радиолокационная Станция
NAME:REPORT|Результаты Сражения:
NAME:REPORTR|Послание Рашиди:
NAME:REPORTY|Послание Юрия:
NAME:RESO|Призрачный Рудокоп
NAME:RESP|Баллистическая Подлодка Решеф
NAME:RHAD|Рашиди
NAME:RISEN|Восходящий Монолит
NAME:RUSSIANFLAG|Флаг России
NAME:RUSSIANS|USSR
NAME:SAPC|Десантный Корабль Зубр
NAME:SARINFAC|Хранилища Белого Фосфора
NAME:SAS|Ополчение
NAME:SBTR|Диверсант
NAME:SCAN|Радарный Шифратор
NAME:SCAR|БТР Тигр
NAME:SCAV|Тиран
NAME:SCHP|Стервятник
NAME:SCHWARZ|Schwarze Sonne
NAME:SCORP|Скорпион
NAME:SCORPIONCELL|Ячейка Скорпион
NAME:SCOUTJEEP|Разведывательный Джип
NAME:SCRAW|Советский Завоеватель
NAME:SCUD|Ракетная Установка Эльбрус
NAME:SCUD2|Ракета
NAME:SCUDTRANSPORT|Перевозчик Ракет
NAME:SDRN|Ремонтный Дрон
NAME:SEAL|Морской Котик
NAME:SEKR|Василиск
NAME:SEL|Морской Котик
NAME:SENERGYCRIS|Soviets - Operation: Energy Crisis
NAME:SENGINEER|Советский Инженер
NAME:SFB237I|Santa Fe B23-7
NAME:SFC408WL|Santa Fe C40-8W
NAME:SFCAB|Santa Fe Caboose
NAME:SFCF7R|Santa Fe CF7
NAME:SFGP50L|Santa Fe GP-50
NAME:SFGP60L|Santa Fe GP60M
NAME:SFV|БМП Страйкер
NAME:SHAD|Транспортный Вертолет Жеребец
NAME:SHADOW|Танк Тень
NAME:SHADOWRING|Кольцо Тени
NAME:SHEEP|Баран
NAME:SHUTTLE|Шаттл
NAME:SIBTOWR|Башни-Близнецы
NAME:SIEGFRIED|Зигфрид
NAME:SLHYT|Статуя Дракона
NAME:SMCV|Советский МСЦ
NAME:SMOKEBOMBS|Дымовая Бомбардировка
NAME:SNIPE|Great Britain
NAME:SNIPE2|Снайпер
NAME:SONARPULSE|Сонарное Сканирование
NAME:SOV_COOP|Soviet Coop Campaign
NAME:SOVIETS|Soviets
NAME:SPIN|Крыльчатка
NAME:SPYSAT|Спутниковое Сканирование
NAME:STALKER|Сталкер
NAME:STEAM|Локомотив
NAME:STEINSTECH|Лаборатория ШтейнТек
NAME:STINGER|Стингер
NAME:STLN|Сильвестр Сталлоне
NAME:STNK|Танк Опус
NAME:STOREROOM|Хранилище
NAME:STORM|Грозовой Шторм
NAME:STORMACTIVE|ВНИМАНИЕ - Приближается гроза!
NAME:STRM|Дитя Бури
NAME:STRMT|Штурмовик
NAME:SUB|Боевая Подлодка Тайфун
NAME:SUPPLIES|Припасы
NAME:SUPPLYDOCK|Склад Припасов
NAME:SUPR|Угнетатель
NAME:SVAP|Советская Взлетная Полоса
NAME:SVSTNK|Железный Кулак
NAME:SWLF|Канонерка Морской Волк
NAME:TANKDROP|Сброс Бронетехники
NAME:TAPIR|Тапир
NAME:TARGET|ЦЕЛЬ
NAME:TARGETPAINTER|Целеуказатель
NAME:TECHMISSILE|Ракетный Удар
NAME:TENGU|Цуруги
NAME:TERROR|Конфедерация
NAME:TERRORIST|Безумный Водитель
NAME:TESTMAP|Object Test Map 1 (Temperate, Basic)
NAME:TESTMAP2|Object Test Map 2 (Snow, Elite)
NAME:TESTMAP3|TESTMAP3 (for mission tests)
NAME:TESTMAP4|TESTMAP4 (for mission tests)
NAME:THOR|Тор
NAME:THORX|Супер-Тор
NAME:TIGER|Тигр
NAME:TNKD|Германия
NAME:TOTEM|Тотем
NAME:TRASH|Мусоровоз
NAME:TRIKE|Боевой Трицикл
NAME:TRIPLE|Triple Crossed (2-6)
NAME:TRIPLEX|Triple Crossed (3vs2)
NAME:TRUCKA|Грузовик (пустой)
NAME:TRUCKB|Грузовик (с грузом)
NAME:TTNK|СССР
NAME:TTNK2|Тесла Крейсер
NAME:TU16|Песчаная Буря
NAME:UNDER|Малвер
NAME:UNITEDSTATES|США
NAME:UNKNOWN|Неизвестный Объект
NAME:USSR|Россия
NAME:UTOPIA|Транспортная Капсула Утопия
NAME:V2RACK|Боеприпасы В-2
NAME:VBTLU|Meerth Battleship
NAME:VCARR|Установка Град
NAME:VENTREX|Градина
NAME:VLADIMIR|Владимир
NAME:VLADMIRX|Генерал
NAME:VOLKOV|Волков
NAME:VULTURE|Стервятник
NAME:WEAVERS|Засада Клещей
NAME:WEEK22|Mount of Imprulz (2-4)
NAME:WELDER|Сварщик
NAME:WHIPLASH|Танк Хлыст
NAME:WINI|Грузовик-Рефрижератор
NAME:WLFRIN|Экспериментальный Бронекостюм
NAME:WOLF|Волкодав
NAME:WORLD_COOP|World Alliance
NAME:WORM|Wormachine
NAME:WRMN|Mevitar Miner
NAME:WTC|Всемирный Торговый Центр
NAME:WYVERN|Виверна
NAME:WZHDL|Грузовик
NAME:XCOMET|Placeholder
NAME:XPCV|МСЦ Эпсилон
NAME:YAACAD|Академия Эпсилон
NAME:YAACID|Mindhaze
NAME:YABEAM|Focus Beam
NAME:YACAOS|Пси-Маяк
NAME:YACNST|Сборочный Цех Эпсилон
NAME:YACNSTZ|Сборочный Цех Эпсилон
NAME:YACOMD|Командный Центр Эпсилон
NAME:YACXST|Сборочный Цех Эпсилон
NAME:YADEPOT|Станция Техобслуживания Эпсилон
NAME:YADEVO|Колосс (режим ПВО)
NAME:YADMME|Пси-Модуль
NAME:YADOME|Химический Модуль
NAME:YADOMM|Генетический Модуль
NAME:YADRPL|Буровая Платформа
NAME:YAGGUN|Пулемет Гаттлинга
NAME:YAGNTC|Пожиратель Теней
NAME:YAHADE|Батарея Антарес
NAME:YAHCR|Платформа Геенна
NAME:YAMPSI|Чтец Мыслей
NAME:YAPC|Транспорт-Амфибия
NAME:YAPLN|Перехватчик
NAME:YAPPET|Пси-Подчинитель
NAME:YAPPETZ|Пси-Подчинитель
NAME:YAPPPT|Недостроенный Пси-Подчинитель
NAME:YAPPXT|Пси-Подчинитель
NAME:YAPROT|Прототип Сборочного Цеха
NAME:YAPSIS|Радарный Шпиль
NAME:YAPSYB|Пси-Прерыватель
NAME:YAPSYT|Пси-Башня
NAME:YAPSYT2|Пси-Башня
NAME:YAPSYTB|Психокинетическая Башня
NAME:YAPYLO|Столб
NAME:YAQNTM|Квантовая Пушка
NAME:YARIREFN|Перерабатывающий Комбинат Эпсилон
NAME:YARIFT|Сердце Химеры
NAME:YAROCK|Пусковая Площадка
NAME:YASBIO|Bio Churner
NAME:YASERPH|Horus Gun
NAME:YASILO|AT Mine
NAME:YASPAD|Аэродром Эпсилон
NAME:YASPIL|Epsilon Sky Pillar
NAME:YASPIR|Пси-Маяк
NAME:YAWEAPZ|Военный Завод Эпсилон
NAME:YAYARDX|Верфь Эпсилон
NAME:YAYGUN|Орудие Омега
NAME:YBARRACKS|Казармы Эпсилон
NAME:YBLAB|Цитадель Пандоры
NAME:YBLABZ|Цитадель Пандоры
NAME:YDOG|Боевой Пес Эпсилон
NAME:YDRON|Дрон Установки Град
NAME:YENGINEER|Инженер Эпсилон
NAME:YHVR|Десантный Корабль Манжет
NAME:YMIN|Рудокоп-Призрак
NAME:YNAVAL|Верфь Эпсилон
NAME:YNESTNK|Mobile Illusion
NAME:YSGEN|Mobile Illusion
NAME:YTNK|Танк Гаттлинга
NAME:YUNRU|Юнру
NAME:YURI|Боец Пси-Корпуса
NAME:YURI_COOP|Epsilon Coop Campaign
NAME:YURICLONE|Адепт Эпсилон
NAME:YURICOUNTRY|Пси-Корпус
NAME:YURIPR|Адепт-Невидимка
NAME:YURIPRIME|Юрий
NAME:YURIX|Элита Эпсилон
NAME:YWARFACTORY|Военный Завод Эпсилон
NAME:ZAMCV|Украденный МСЦ Альянса
NAME:ZOMBIE|Зомби
NAME:ZPCV|Украденный МСЦ Эпсилон
NAME:ZSMCV|Украденный Советский МСЦ
NAME:ZTARGET|Целеуказатель Зефиров
NAME:ZZEP|Командирский Дирижабль Сергея Кирова
STT:CAMPAIGNBUTTONLOAD|Начать выбранную миссию.
STT:CAMPAIGNLIST|Выберите миссию, которую хотите начать.
STT:CAMPAIGNSLIDERDIFFICULTY|Выберите сложность миссии.
STT:IGRLOGIN|Введите ваш никнейм.
STT:IGSINGLEOPTBUTTONDELETE|Используйте для удаления сохраненных игр.
STT:IGSINGLEOPTBUTTONLOAD|Загрузить сохраненную игру.
STT:IGSINGLEOPTBUTTONSAVE|Сохранить игру.
STT:MAINBUTTONEXITGAME|Вернуться в лаунчер Mental Omega.
STT:MAINBUTTONEXITGAMEMD|Вернутся в лаунчер Mental Omega.
STT:MAINBUTTONMOVIES|Посмотреть информацию о Mental Omega.
STT:MAINBUTTONNETWORK|Играть по локальной сети или по CNC.net.
STT:MAINBUTTONSINGLEPLAYER|Играть против компьютера или начать прохождение миссий.
STT:MAINBUTTONWWONLINE|Играть через интернет. Ищите противников на mo.cncguild.net/chat
STT:MAINBUTTONYURIWEBSITE|Сайт Mental Omega
STT:MODEASSAULT|'Штурм' - уничтожьте вражеские флаги и защитите свой.
STT:MODEBATTLE|'Битва' - сражение, где можно заключать и разрывать союзы.
STT:MODEBLOODYGAMES|'Пехотная Война' - никакой техники, только пехота.
STT:MODECOOPERATIVE|'Cовместная игра' - проходите миссии вместе.
STT:MODECRATEPICKUP|'Ящики Повсюду' - по всей карте разбросаны ящики с сюрпризами.
STT:MODECTF|'Захват' - захватите вражеские флаги и защитите свой.
STT:MODEFORTRESS|'Крепость' - победите игрока, занявшего укрепленный район.
STT:MODEGRANDERWAR|'Метеоритный Дождь' - ИИ будет жульничать как никогда раньше.
STT:MODEHEROARENA|'Арена Героев' - Эйнштейн вернулся и передает привет.
STT:MODEISLANDS|'Острова' - базы разделены водой, а значит морские битвы неизбежны.
STT:MODEKOTH|'Царь Горы' - захватите и удержите Устройство Судного Дня.
STT:MODEMONSTERTRUCK|'Войны Смертников' - выиграйте битву с помощью... грузовика-бомбы?
STT:MODENOBASES|'Без Базы' - именно, никаких баз, только войска.
STT:MODESCAVENGERS|'Мусорщики' - используйте реверсную инженерию, чтобы открыть войска.
STT:MODETEAMS|'Командная Игра' - битва с изначально заключенными союзами.
STT:MODEUNHOLYALLIANCE|'Нечестный Союз' - все технологии мира в вашем распоряжении.
STT:MULTIENGINEER|Инженеры захватывают только поврежденные здания.
STT:OPTIONSBUTTONCREDITS|Посмотреть список благодарностей.
STT:OPTIONSBUTTONMOVIES|Посмотреть список полезных ссылок.
STT:PLAYERCOLORBLUE|Установить синий цвет.
STT:PLAYERCOLORBROWN|Установить коричневый цвет.
STT:PLAYERCOLORDARKGREEN|Установить темно-зеленый цвет.
STT:PLAYERCOLORGOLD|Установить желтый цвет.
STT:PLAYERCOLORGREEN|Установить зеленый цвет.
STT:PLAYERCOLORKHAKI|Установить цвет хаки.
STT:PLAYERCOLORMAGENTA|Установить сиреневый цвет.
STT:PLAYERCOLOROLIVE|Установить оливковый цвет.
STT:PLAYERCOLORORANGE|Установить оранжевый цвет.
STT:PLAYERCOLORPINK|Установить розовый цвет.
STT:PLAYERCOLORPURPLE|Установить фиолетовый цвет.
STT:PLAYERCOLORRED|Установить красный цвет.
STT:PLAYERCOLORSKYBLUE|Установить голубой цвет.
STT:PLAYERCOLORTEAL|Установить цвет морской волны.
STT:PLAYERSIDEAMERICAN|Соединенные Штаты используют быстрое развертывание и точные удары.
STT:PLAYERSIDECHINESE|Арсенал Китая состоит из медленной, но мощной техники.
STT:PLAYERSIDECONFEDERATION|Латиноамериканская Конфедерация преуспевает в диверсиях и налетах.
STT:PLAYERSIDEEUROALLIANCE|Евросоюз опирается на поддержку войск и оборонительную тактику.
STT:PLAYERSIDEHEADQUATERS|Штаб Эпсилон использует генетически модифицированных солдат и технологии невидимости.
STT:PLAYERSIDEPACIFICFRONT|Тихоокеанский Фронт применяет криогенное и дальнобойное вооружение.
STT:PLAYERSIDEPSICORPS|Пси-Корпус использует антигравитацию, телепатию и телекинез.
STT:PLAYERSIDERANDOM|Фракция будет выбрана случайно.
STT:PLAYERSIDESCORPIONCELL|Ячейка Скорпион полагается на численное превосходство и быстрые налеты.
STT:PLAYERSIDEUSSR|Россия использует тесла-технологии и мобильные войска.
STT:RMGURBANAREAS|Разрешить или запретить наличие городских районов.
STT:SINGLEBUTTONLOADSAVEDGAME|Загрузить сохраненную игру.
STT:SINGLEBUTTONNEWCAMPAIGN|Играть в миссии Mental Omega.
STT:SKIRMISHCBOXBUILDOFFALLY|Если включено, игроки могут строить рядом со зданиями союзников.
STT:WOLLOBBYBACK|Вернуться в меню сетевой игры
STT:WOLNEWACCOUNT|Создать новый аккаунт
STT:WOLNEWS|Последние новости о Mental Omega.
STT:WOLWELCOMEMYINFORMATION|Настроить аккаунт сетевой игры.
THEME:ACTON|Act On Instinct
THEME:AENIGMATA|Aenigmata
THEME:BANISHED|Banished
THEME:BRAINDEAD|Brain Dead
THEME:CHAOTICIMPULSE|Chaotic Impulse
THEME:CONSTRUCT|Construct
THEME:CYBERTEK|Cybertek
THEME:DECIBLE|Decible
THEME:DEFUNKT|Defunkt
THEME:DIABLO|Diablo
THEME:DUALITY|Duality
THEME:ECHO|Echo
THEME:ESCAPE|Escape
THEME:FANTASY|Fantasy
THEME:FORGOTTEN|Forgotten
THEME:FROSTBURN|Frostburn
THEME:GETONIT|Get On It
THEME:HELIVES|He Lives
THEME:HMM|Hell March Medley
THEME:INFILTRATOR|Infiltrator
THEME:INSIDE|Inside Your Soul
THEME:INTHETUNNEL|In The Tunnel
THEME:INYOFACE|In Yo Face
THEME:ITHASBEGUN|It Has Begun
THEME:KILL|Kill
THEME:MAGNAFRIED|Magnafried
THEME:MECHANICAL|Mechanical Man
THEME:MINDPRISON|Mind Prison
THEME:MORPHSCAPE|Morphscape
THEME:MORPHUNK|Morphunk
THEME:OBSIDIANSANDS|Beyond the Obsidian Sands
THEME:ODDFUNK|Odd Funk
THEME:OUTBREAK|Outbreak
THEME:OWNAGE|Ownage
THEME:PSYCHOSIS|Psychosis
THEME:REALMS|Nine Realms
THEME:REAPING|Reaping
THEME:ROCKTRONIC|Rocktronic
THEME:ROX|Rox
THEME:SOLARA|Solara
THEME:SONICPAIN|Sonic Pain
THEME:STRANGE|Strange
THEME:THEEDGE|The Edge
THEME:THEGATES|Opening of the Gates
THEME:THESTREETS|The Streets
THEME:VIGILANTE|Vigilante
THEME:VIRTUALCONTROL|Virtual Control
THEME:VVERSUSP|Virus vs Predator
THEME:WARFARE|Warfare
TIP:0|0
TIP:1|1
TIP:2|2
TIP:3|3
TIP:4|4
TIP:5|5
TIP:6|6
TIP:7|7
TIP:8|8
TIP:9|9
TIP:MACHINEGUN|
TIP:ROCKET|
TIP:Z|Z
TXT_COMMAND_DISABLED|ОШИБКА - Эта команда недоступна в публичной бета-версии
TXT_COPYRIGHT|
TXT_EASY|Нормальная
TXT_HARD|Невыносимая
TXT_LIGHTNING_STORM|Начался грозовой шторм!
TXT_LOB_1|Lobby 1
TXT_LOB_2|Lobby 2
TXT_LOB_3|Lobby 3
TXT_LOB_4|Lobby 4
TXT_LOB_5|Lobby 5
TXT_LOB_6|Lobby 6
TXT_LOB_7|Lobby 7
TXT_LOB_8|Lobby 8
TXT_MISMATCH|Версии игры несовместимы. Убедитесь, что вы и организатор игры используете одну и ту же версию.
TXT_MOVIESANDCREDITSBUTTON_MSG|Наш Сайт --------- mentalomega.com\nНаш Форум ---------- mentalomega.com/forum\nАдрес ModDB ----------- moddb.com/mods/mental-omega\nАдрес Desura ----------- desura.com/mods/mental-omega\nАдрес Facebook -------- facebook.com/MentalOmegaAPYR\nТвиттер Speeder'а ------- twitter.com/speeder_mo\nКанал на YouTube ------- youtube.com/MentalOmegaAPYR\nБлагодарности  -------------- mentalomega.com/credits
TXT_NORMAL|Сложная
TXT_RELEASE_NOTE|
TXT_SCRNCAP_DESC|Сделать снимок экрана (сохраняется как 'SCRNxxxx.PCX' в папке с Mental Omega).
GUI:LOAD|Начать Миссию
GUI:SELECTCAMPAIGN|Выберите Кампанию
GUI:URBANAREAS|Создать Городские Районы
NAME:DESERT|Пустыня
STT:MULTIENGINEER|Инженеры захватывают только поврежденные здания.
STT:RMGURBANAREAS|На карте будут присутствовать городские участки.
STT:PLAYERCOLORBROWN|Установить коричневый цвет.
STT:PLAYERCOLORCHARCOAL|Установить темно-серый цвет.
STT:PLAYERCOLORLIGHTBLUE|Установить голубой цвет.
STT:PLAYERCOLORLIME|Установить ядовито-зеленый цвет.
STT:PLAYERCOLORTEAL|Установить цвет морской волны.
STT:PLAYERCOLORLILAC|Установить лиловый цвет.
TXT_COMMAND_DISABLED|Команда %s недоступна.
TXT_RELEASE_NOTE|
TXT_SCRNCAP_DESC|Сделать снимок экрана. (Сохраняется в папке с игрой.)
DESC:2PEAKS|(2) Twin Peaks
DESC:4CORNERS|(4) Four Corners
DESC:ABALANCE|Balance of Power (Allies)
DESC:ADOWN|Downfall (Allies)
DESC:ALA|Low Rider (Allies)
DESC:ARENA33|(6) Arena Thirty-Three
DESC:ATECH|Technologic (Allies)
DESC:AUSTIN|(4) Austin, Texas
DESC:BAYOFPIGS|(6) Bay of Pigs
DESC:BLDFEUD|(2) Blood Feud
DESC:CARVILLE|(4) Carville's Convoy
DESC:CHAL01|VS United States
DESC:CHAL02|VS Euro Alliance
DESC:CHAL03|VS Pacific Front
DESC:CHAL04|VS Russia
DESC:CHAL05|VS Confederation
DESC:CHAL06|VS China
DESC:CHAL07|VS PsiCorps
DESC:CHAL08|VS Scorpion Cell
DESC:CHAL09|VS Headquarters
DESC:CHAL10|VS Haihead
DESC:CHAL11|VS Coronia
DESC:CHAL12|VS Last Bastion
DESC:CITYVILLE|(4) Downtown, Cityville
DESC:CSWING|(4) Country Swing
DESC:CUS|(4) City Under Siege
DESC:DEADMAN|(2) Deadman's Ridge
DESC:DISASTER|(4) Brink of Disaster
DESC:DRYHEAT|(4) Dry Heat
DESC:DTRBLE|(4) Double Trouble
DESC:DUNEPATR|(2) Dune Patrol
DESC:DUSTBOWL|(2) Dustbowl
DESC:EMONO|Monochrome (Epsilon)
DESC:F31|(3) Diamond Rift
DESC:F33|(3) Sinner Within
DESC:F34|(3) Citadel Aquaria
DESC:F35|(3) Slippyhill Strategy
DESC:F36|(3) Both Sides Now
DESC:F37|(3) Placebo Effect
DESC:F38|(3) Neptune Valley
DESC:F39|(3) Unfair Advantage
DESC:F41|(4) Mount Rush More
DESC:F42|(4) Banzai Charge
DESC:F43|(4) Death of Money
DESC:F44|(4) Clash in America
DESC:F51|(5) Flower of Power
DESC:F52|(5) Resurrection Bolt
DESC:F53|(5) Eternal Defense
DESC:F55|(5) Yunru's Keep
DESC:F61|(6) Rahn's Snowy Castle
DESC:F62|(6) Stronghold Prime
DESC:F63|(6) Perseverance
DESC:F72|(7) Diamond Is Unbreakable
DESC:F73|(7) Ring of Death
DESC:F81|(8) The Sky Mountain
DESC:FACEDWN|(4) Face Down
DESC:FROSTBITE|(4) Frostbite
DESC:FSURGE|Power Surge (Foehn)
DESC:GROUNDZE|(4) Ground Zero
DESC:HAILMARY|(2) Hail Mary
DESC:HIDVALLY|(2) Hidden Valley
DESC:HILLBETWEEN|(2) A Hill Between
DESC:HILLS|(4) Head for the Hills
DESC:INVASION|(4) Invasion Confirmed
DESC:KALIFORNIA|(6) Kalifornia
DESC:KILLER|(3) Killer Instinct
DESC:LITTLEPI|(2) Little Piece of Dune
