THEME:INTRO|Intro
STT:SOUNDOPTLISTSCORE|Список музыкальных дорожек.
STT:SOUNDOPTCBOXSHUFFLE|Играть случайно выбранные музыкальные дорожки.
STT:SOUNDOPTCBOXREPEAT|Повторять одну и туже музыкальную дорожку.
STT:SOUNDOPTBUTTONPLAY|Играть музыкальную дорожку.
STT:SOUNDOPTBUTTONSTOP|Остановить музыкальную дорожку.
STT:SOUNDOPTBUTTONBACK|Вернуться в предыдущее меню.
STT:STANDSCOREUKILLSLEFT|Подразделения, уничтоженные Вами на протяжении сценария.
STT:STANDSCOREUKILLSRIGHT|Подразделения, уничтоженные врагом на протяжении сценария.
STT:STANDSCOREUMADELEFT|Подразделения, созданные Вами на протяжении сценария.
STT:STANDSCOREUMADERIGHT|Подразделения, созданные врагом на протяжении сценария.
STT:STANDSCOREBKILLSLEFT|Здания уничтоженные Вами в течении сценария.
STT:STANDSCOREBKILLSRIGHT|Здания уничтоженные Вами в течении сценария.
STT:STANDSCOREBMADELEFT|Здания созданные Вами в течении сценария.
STT:STANDSCOREBMADERIGHT|Здания созданные врагом в течении сценария.
STT:STANDSCORECHARVLEFT|Финансы, которые Вы заработали за сценарий.
STT:STANDSCORECHARVRIGHT|Количество руды и минералов, собранных врагом.
STT:STANDSCORECSPENTLEFT|Полное количество финансов, которые Вы потратили.
STT:STANDSCORECSPENTRIGHT|Финансы, которые заработал враг за сценарий.
STT:STANDSCOREBUTTONRETURN|Перейти к следующему сценарию.
TIP:ROCKET|Ракетная
TIP:REPAIR|Ремонтная
TIP:MACHINEGUN|Пулеметная
TIP:DIPLOMACYBUTTON|Дипломатия
TIP:BRIEFINGBUTTON|Брифинг
TIP:OPTIONSBUTTON|Меню
TIP:TAB1|Здания
TIP:TAB2|Оборонительные Сооружения
TIP:TAB3|Пехота
TIP:TAB4|Техника
TIP:SCROLLUP|Прокрутить Вверх
TIP:SCROLLDOWN|Прокрутить Вниз
TIP:DISABLED|Отключено
TIP:THUMBCLOSED|Показать панель\n команд
TIP:THUMBOPEN|Спрятать панель\n команд
TIP:ATTACKMOVE|Атака на ходу
TIP:AUTODEPLOY|Auto-Deploy
TIP:BEACON|Маяк
TIP:DEPLOY|Развернуть
TIP:GUARD|Охранять
TIP:PLANNINGMODE|Режим точек пути
TIP:STOP|Стоп
TIP:TEAM01|Отряд 01
TIP:TEAM02|Отряд 02
TIP:TEAM03|Отряд 03
TIP:TYPESELECT|Выбор по типу
WDT:TERRITORYPREFIX|--------- \n
WDT:REVIEWINGHISTORY|Reviewing History...
WDT:REVIEWINGHISTORYDAY|Day :
WDT:DEFAULTSHORTDESCRIPTION|World Domination Tour
WDT:DEFAULTLONGDESCRIPTION|World Domination Tour
WDT:FOURPLAYERONLY|4 Players
WDT:TWOPLAYERONLY|2 Players
WDT:TECHLEVEL|Tech Level : %hs
WDT:NOBASES|No Bases
WDT:BASES|Bases
WDT:NOTSHORTGAME|Long Game
WDT:SHORTGAME|Short Game
WDT:CREDITS|Starting Credits : %hs
WDT:FOGOFWAR|Fog of War
WDT:HARVESTERTRUCE|Harvester Truce
WDT:UNITCOUNT|Starting Units : %hs
WDT:NOREDEPLOYMCV|MCV Not Redeployable
WDT:REDEPLOYABLEMCV|MCV Redeployable
WDT:NOCRATES|No Goodie Crates
WDT:CRATES|Goodie Crates
WDT:NORTHAMERICA00|North Pacific
WDT:NORTHAMERICA01|Grand Forks
WDT:NORTHAMERICA02|Montana
WDT:NORTHAMERICA03|Black Hills
WDT:NORTHAMERICA04|Lake Superior
WDT:NORTHAMERICA05|Ontario
WDT:NORTHAMERICA06|Ottowa
WDT:NORTHAMERICA07|New England
WDT:NORTHAMERICA08|Gulf of St. Lawrence
WDT:NORTHAMERICA09|Nova Scotia
WDT:NORTHAMERICA10|Pacific Coast
WDT:NORTHAMERICA11|Cascades
WDT:NORTHAMERICA12|Snake River
WDT:NORTHAMERICA13|North Rockies
WDT:NORTHAMERICA14|Western Gateway
WDT:NORTHAMERICA15|Great Lakes
WDT:NORTHAMERICA16|Appalachians
WDT:NORTHAMERICA17|Southern Cal
WDT:NORTHAMERICA18|Grand Canyon
WDT:NORTHAMERICA19|Southern Rockies
WDT:NORTHAMERICA20|Dodge
WDT:NORTHAMERICA21|Ohio River
WDT:NORTHAMERICA22|Roanoake
WDT:NORTHAMERICA23|Panhandle
WDT:NORTHAMERICA24|Texas Gulf
WDT:NORTHAMERICA25|Gulf Coast
WDT:NORTHAMERICA26|Savannah
WDT:NORTHAMERICA27|Baja
WDT:NORTHAMERICA28|Sierra Madre
WDT:NORTHAMERICA29|Southern Gulf
WDT:EUROPE00|Eire
WDT:EUROPE01|Britannia
WDT:EUROPE02|Norway
WDT:EUROPE03|Sweden
WDT:EUROPE04|Finland
WDT:EUROPE05|Bay of Biscay
WDT:EUROPE06|La Seine
WDT:EUROPE07|Germany
WDT:EUROPE08|Poland
WDT:EUROPE09|Baltic
WDT:EUROPE10|Belarus
WDT:EUROPE11|Ukraine
WDT:EUROPE12|North Atlantic
WDT:EUROPE13|Ebro
WDT:EUROPE14|Gulf of Lions
WDT:EUROPE15|Alps
WDT:EUROPE16|Liguria
WDT:EUROPE17|Adriatic Coast
WDT:EUROPE18|Danube Delta
WDT:EUROPE19|Black Sea
WDT:EUROPE20|Sierra Morena
WDT:EUROPE21|Sardinia
WDT:EUROPE22|Tyrrhenia
WDT:EUROPE23|Aegean Coast
WDT:EUROPE24|Asia Minor
WDT:EUROPE25|Mesopotamia
WDT:EUROPE26|Morocco
WDT:EUROPE27|South Med
WDT:EUROPE28|Sahara
WDT:EUROPE29|Tunisia
WDT:ASIA00|Xinjiang
WDT:ASIA01|Gansu
WDT:ASIA02|Nei Mongol
WDT:ASIA03|Heilongjiang
WDT:ASIA04|Jilin
WDT:ASIA05|Liaoning
WDT:ASIA06|Republic of Korea
WDT:ASIA07|Japan
WDT:ASIA08|Japan Islands
WDT:ASIA09|Eastern Tibet
WDT:ASIA10|Xizang
WDT:ASIA11|Qinghai
WDT:ASIA12|Yunnan
WDT:ASIA13|Sichuan
WDT:ASIA14|Shaanxi
WDT:ASIA15|Shanxi
WDT:ASIA16|Hebei
WDT:ASIA17|Henan
WDT:ASIA18|Shandong
WDT:ASIA19|Jiangsu
WDT:ASIA20|Nanjing
WDT:ASIA21|Hubei
WDT:ASIA22|Hunan
WDT:ASIA23|Guangxi
WDT:ASIA24|Guangdong
WDT:ASIA25|Taiwan
WDT:ASIA26|South China Sea
WDT:ASIA27|Hainan
WDT:ASIA28|Philippines
WDT:ASIA29|Guizhou
GUI:LOGINSSCREEN|Вход на Westwood Online
GUI:LOGINNAME|Уч. запись
GUI:PASSWORD ENTRY BOX LABEL|Пароль
GUI:LOGIN|Вход
GUI:REMEMBERACCOUNT|Запомнить учетную информацию
GUI:FORGETACCOUNT|Удалить уч. запись
GUI:AUTOLOGINQUERY|Вы хотите автоматически входить под этой учетной записью в будущем?
GUI:DONOTASK|Больше не спрашивать
GUI:WOLWELCOME|Westwood Online
GUI:WELCOMERA2ONLINE|Добро пожаловать в игровую сеть игры Красная Угроза 2
GUI:QUICKMATCH|Быстрый матч
GUI:CUSTOMMATCH|Свой матч
GUI:PLAYBUDDY|Список друзей
GUI:PLAYWDT|Господство
GUI:MYINFORMATION|Моя информация
GUI:USERPROFILELABEL|Профиль игрока под именем %hs
GUI:GAMEWINS|Победы :
GUI:GAMELOSSES|Поражения :
GUI:LADDERRANK|Звание :
GUI:DISCONNECTS|Отключений :
GUI:UNKNOWNSTATS|?
GUI:MATCHSTATUS|Статус матча
GUI:MATCHINGPROGRESS2|Поиск матча...
GUI:MATCHFOUND|Матч найден!
GUI:OPENGAMES|Доступные игры
GUI:CREATEGAME|Создать игру
GUI:JOINGAME|Присоединиться
GUI:CLANANDLADDER|Клан/Доска почета
GUI:MYINFORMATIONLABEL|Моя информация
GUI:PERSONA|Персона :
GUI:AUTOLOGIN|Авто-вход на эту уч. запись
GUI:BUDDYTITLE|Статус друзей
GUI:STATUS|Статус
GUI:ADDBUDDY|Добавить друга
GUI:REMOVEBUDDY|Удалить друга
GUI:REFRESH|Обновить
BRIEF:ERROR|Ой, а для этой миссии инструкций нет. Изучите MISSION.INI и RA2.STR чтобы понять, как их сделать.
TXT_NONE|
TXT_COPYRIGHT|© 2000, 2001 ELECTRONIC ARTS INC. ВСЕ ПРАВА ЗАЩИЩЕНЫ
TXT_TIME_FORMAT_HOURS|Время: %02d:%02d:%02d
TXT_TIME_FORMAT_NO_HOURS|Время:%02d:%02d
TXT_MONEY_FORMAT_1|$%d
TXT_MONEY_FORMAT_2|%s $%d
TXT_READY|Готово
TXT_HOLD|Пауза
TXT_PRIMARY|Основное
TXT_PRI|Осн.
TXT_OK|ОК
TXT_YES|Да
TXT_NO|Нет
TXT_SCENARIO_WON|Миссия выполнена
TXT_SCENARIO_LOST|Миссия провалена
TXT_CANCEL|Отмена
TXT_IGNORE|Игнорировать
TXT_CLICK_CONTINUE|Нажмите для продолжения
TXT_MISSION_EFFICIENCY|ЭФЕКТИВНОСТЬ МИССИИ
TXT_MISSION_TIME_LAPSE|ВРЕМЕННАЯ ПОГРЕШНОСТЬ МИССИИ
TXT_CURRENCY|CURRENCY
TXT_CASUALTIES|ПОТЕРИ
TXT_BEST_SCORES|Лучший результат
TXT_STRUCTURES|Здания
TXT_RESUME_MISSION|Вернуться к миссии
TXT_VIDEO|Видео
TXT_MORE|-- Еще --
TXT_INTERFACE|Интерфейс
TXT_TEAM|Отряд
TXT_SELECTION|Выделение
TXT_CONTROL|Приказы
TXT_CREATE_TEAM|Создать отряд %2d
TXT_CD_ERROR1|Красная угроза 2 не может найти ваше устройство чтения компакт-дисков.
TXT_DLL_INVALID|Красная угроза 2 требует %s версию %d.%d или новее. \n \nПожалуйста, прочитайте файл read me для получения \n информации о том, как получить новую версию %s.
TXT_ENEMY_SOLDIER|Вражеский солдат
TXT_ENEMY_VEHICLE|Вражеская техника
TXT_ENEMY_STRUCTURE|Вражеское здание
TXT_INITGAME_FAILED|Невозможно иницализовать. Пожалуйста, переустановите.
TXT_PREPARECOM_FAILED|Один или более DLL файлы не найдены или повреждены. Пожалуйста, переустановите.
TXT_NO_SOUND_CARD|Звуковая карта не обнаружена
TXT_INVALIDMODE|Эта игра требует 16бит глубины цвета!
TXT_LOST|Игра окончена
TXT_MOUSE_REQUIRED|Для того, чтобы играть в игру Красная угроза 2 нужна мышь.
TXT_DSOUND_ACCESS|Невозможно воспроизводить звук на первичном буфере Direct Sound.
TXT_DDRAW_UNKNOWN|Нераспознанный код Direct Draw.
TXT_VIDEO_ERROR|Ошибка - невозможно установить другое разрешение.
TXT_SHORT_TITLE|Красная угроза 2
TXT_CRITICALLY_LOW|Предупреждение - у Вас слишком мало места на жестком диске для сохранения игр. Вы хотите играть в игру Красная угроза 2?
TXT_TAB_SIDEBAR|Панель
TXT_TAB_BUTTON_CONTROLS|Настройки
TXT_SHADOW|Неисследованная территория
TXT_OPTIONS_MENU|Настройки
TXT_STOP|Стоп
TXT_DEPLOY_OBJECT|Развернуть объект
TXT_DEPLOY_OBJECT_DESC|Развернуть выделенные(ые) объект(ы).
TXT_WAYPOINTMODE|Режим точек пути
TXT_WAYPOINTMODE_DESC|Переключатель режима установки точек пути вкл. / выкл.
TXT_ON|Вкл.
TXT_OFF|Выкл.
TXT_MULTIPLAYER_GAME|Коллективная игра
TXT_SCRNCAP|Снимок экрана
TXT_SCRNCAP_DESC|Сделать снимок экрана. (Сохранить как 'SCRNxxxx.PCX' файл в папке игры Красная угроза 2.)
TXT_SENDING_GO|Отправка запроса ВПЕРеД - Пожалуйста, подождите...
TXT_WAITING_GO|Ожидание ответа ВПЕРеД - пожалуйста, подождите...
TXT_SENDING_GO_ACK|Отправка подтверждения ВПЕРеД - Пожалуйста, подождите...
TXT_CWAIT_STAR70|*70
TXT_CWAIT_70NUM|70#
TXT_CWAIT_1170|1170
TXT_EASY|Легкая
TXT_NORMAL|Нормальная
TXT_HARD|Сложная
TXT_HIGH|Высокая
TXT_LOW|Низкая
TXT_FASTEST|Быстрейшая
TXT_FASTER|Оч. быстрая
TXT_SLOWER|Оч. медленная
TXT_SLOWEST|Медленнейшая
TXT_SLOW|Медленная
TXT_MEDIUM|Средняя
TXT_FAST|Быстрая
TXT_UNABLE_READ_SCENARIO|Невозможно прочитать сценарий!
TXT_ERROR_LOADING_GAME|Ошибка загрузки игры!
TXT_OBSOLETE_SAVEGAME|[УСТАРЕВШАЯ]
TXT_MUSTENTER_DESCRIPTION|Вы должны ввести описание!
TXT_ERROR_SAVING_GAME|Ошибка сохранения миссии!
TXT_DELETE_FILE_QUERY|Удалить этот файл?
TXT_EMPTY_SLOT|[СВОБОДНОЕ МЕСТО]
TXT_MAP|Карта: %s
TXT_PLAYER_CHANGED_LATENCY|Игрок %s изменил(а) настройки скорости соединения игры.
TXT_PLAYER_CHANGED_SPEED|Игрок %s изменил(а) настройки скорости игры.
TXT_REQUEST_DENIED|Запрос отклонен.
TXT_UNABLE_PLAY_WAAUGH|Невозможно играть; сценарий не найден.
TXT_NOTHING_TO_JOIN|Некуда присоединяться!
TXT_NAME_ERROR|Вы должны ввести имя!
TXT_YOURGAME_OUTDATED|У Вас старая версия игры.
TXT_DESTGAME_OUTDATED|Версия игры оппонента отличается от Вашей.
TXT_THATGUYS_GAME|Игра, созданная игроком %s
TXT_THATGUYS_GAME_BRACKET|[%s игра]
TXT_REJECT|Выгнать
TXT_CANT_REJECT_SELF|Вы не можете выгнать самого себя!
TXT_SELECT_PLAYER_REJECT|Вы должны выбрать игрока, чтобы выгнать.
TXT_CREDITS_COLON|Финансы:
TXT_ONLY_ONE|Только один игрок?
TXT_OOPS|Ое-ей!
TXT_FROM|От %s:
TXT_TO|Для %s:
TXT_TO_ALL|Для всех:
TXT_MESSAGE|Сообщение:
TXT_CONNECTION_LOST|Соединение с %s потеряно!
TXT_LEFT_GAME|%s покинул(а) игру.
TXT_PLAYER_DEFEATED|%s потерпел(а) поражение!
TXT_COMPUTER|Компьютер
TXT_NONAME|[Новый игрок]
TXT_DEFAULT|По умолчанию
TXT_SETTINGS|Настройки
TXT_NAME_COLON|Имя:
TXT_OUT_OF_SYNC|Ошибка пересоединения!
TXT_PACKET_TOO_LATE|Пакет получен слишком поздно!
TXT_USER_SIGNED_OFF|Пользователь вышел!
TXT_POWER_DRAIN|Энергия = %d \n Потребление = %d
TXT_STAND_BY|Пожалуйста, подождите...
TXT_LOW_POWER|Мало энергии - производство замедлено
TXT_KILLS_COLON|Убито:
TXT_SPY_INFO|Информация шпиона
TXT_INFANTRY|Пехота
TXT_BUILDNGS|Здания
TXT_CIVILIAN_BUILDING|Гражданское здание
TXT_TECHNICIAN|Техник
TXT_UNITS|Подразделения
TXT_TO_REPLAY|Вы хотите переиграть эту миссию?
TXT_SURRENDER|Сдаться
TXT_GAMENAME_MUSTBE_UNIQUE|Название Вашей игры должно быть уникальным.
TXT_GAME_IS_CLOSED|Игра закрыта.
TXT_NAME_MUSTBE_UNIQUE|Ваше имя должно быть уникальным.
TXT_RECONNECTING_TO|Прервалось соединение с  %s. Пытаемся переподключиться.
TXT_WAITING_FOR_CONNECTIONS|Ожидание, когда все игроки войдут в игру....
TXT_TIME_ALLOWED|Времени осталось: %02d секунд
TXT_JUST_YOU_AND_ME|От компьютера: Остались только ты и я!
TXT_HAS_ALLIED|%s заключил(а) союз с %s
TXT_AT_WAR|%s объявил(а) войну %s
TXT_SCENARIOS_DO_NOT_MATCH|Scenarios don't match.
TXT_CONTINUE|Продолжить
TXT_QUEUE_FULL|Очередь данных переполнена
TXT_SPECIAL_WARNING|%s изменил(а) настройки игры!
TXT_WAITING_FOR_OPPONENT|Ожидание оппонента
TXT_GAME_WAS_SAVED|Миссия сохранена
TXT_SPACE_CANT_SAVE|Недостаточно свободного пространства на диске для сохранения игры. Пожалуйста, удалите ненужные сохраненные игры для освобождения места на диске и попытайтесь снова.
TXT_LOADING|Миссия загружается. Пожалуйста, подождите...
TXT_LOBBY|Прихожая
TXT_SAVING_GAME|Миссия сохраняется - Пожалуйста, подождите...
TXT_GAME_FULL|Игра полная.
TXT_MUST_SELECT_GAME|Вы должны выбрать игру!
TXT_S_PLAYING_S|%s играет %s
TXT_ONLY_HOST_CAN_MODIFY|Только сервер может изменять эту опцию.
TXT_GAME_CANCELLED|Игра была отменена.
TXT_S_FORMED_NEW_GAME|%s создал(а) новую игру.
TXT_GAME_NOW_IN_PROGRESS|Игра созданная %s сейчас в процессе.
TXT_NO_DIAL_TONE|Нет гудка. Проверьте подключение вашего модема к телефонной линии и попробуйте снова.
TXT_CONNECTING|Соединение...
TXT_SELECT_SETTINGS|Please select 'Settings' to setup default configuration
TXT_ANSWERING|Ответ...
TXT_INITIALIZING_MODEM|Инициализация модема... подождите
TXT_ERROR_NO_INIT|Error - Modem did not respond to initialisation string.
TXT_ERROR_NO_DISABLE|Error - Unable to disable modem auto answer.
TXT_ERROR_TOO_MANY|Error - Too many errors initialising modem - Aborting.
TXT_ERROR_ERROR|Error - Modem returned error status.
TXT_ERROR_TIMEOUT|Ошибка - истекло время ожидания подключения.
TXT_RECEIVING_SCENARIO|Получение сценария с сервера.
TXT_SENDING_SCENARIO|Отправка сценария удаленному игроку.
TXT_NO_FLOW_CONTROL_RESPONSE|Error - Modem failed to respond to flow control command. Your Windows configuration may be incorrect.
TXT_NO_COMP_DISABLE_RESPONSE|Error - Modem failed to respond to compression disable command. Your Windows configuration may be incorrect.
TXT_NO_EC_DISABLE_RESPONSE|Error - Modem failed to respond to error correction disable command. Your Windows configuration may be incorrect.
TXT_UNABLE_TO_OPEN_PORT|Неправильный порт или порт уже используется
TXT_INVALID_PORT_ADDRESS|Неправильный Порт/Адрес. COM 1-4 ИЛИ АДРЕС
TXT_IRQ_ALREADY_IN_USE|Прерывание уже используется
TXT_ERROR_IN_INITSTRING|Error in the InitString
TXT_MODEM_OR_LOOPBACK|Not a Null Modem Cable Attached! It is a modem or loopback cable.
TXT_UNABLE_FIND_MODEM|Модем не найден. Проверьте питание и кабели.
TXT_NULL_CONNERR_CHECK_CABLES|Ошибка соединения! Проверьте ваши кабели. Повторная попытка соединения...
TXT_MODEM_CONNERR_REDIALING|Ошибка соединения! Пересоединение...
TXT_MODEM_CONNERR_WAITING|Ошибка соединения! Ожидание звонка...
TXT_WAITING_CONNECT|Ожидание соединения...
TXT_CUSTOM|CUSTOM -
TXT_COM1|COM1 - 3F8
TXT_COM2|COM2 - 2F8
TXT_COM3|COM3 - 3E8
TXT_COM4|COM4 - 2E8
TXT_NO_CARRIER|No carrier.
TXT_SHIP_01|UFull Name:ЋЋЋЋЋЋЋЋACoord:ЋЋAHgt:AStr:AAce:ASpd:AAmmoAArm:AGrp:ACloak:APrice:Ће \n
TXT_SHIP_02|3 3 3 3 3 3 3 3 3 3 3 3 \n
TXT_SHIP_03|AOwner:ЋЋЋЋЋЋЋЋЋЋЋЋЏTrigger:ЏTarCom:ЋASTarCom:APFace:ЏPath:ЋЋЋЋAЋЋATry:ADelay:' \n
TXT_SHIP_04|3 3 3 3 3 3 3 3 3 \n
TXT_SHIP_05|ACargo:ЋЋЋATarget:ЋЏNext:ЋЋЋЏNavCom:ЋЏSNavCom:ЏSFace:ЏPBrk:AHeadTo:ЋAArchive:Ћ' \n
TXT_SHIP_06|3 3 3 3 3 3 3 3 3 3 \n
TXT_SHIP_07|ATmr:ASt:ARt:AStageЏRadio:ЋЋЏRadio Message History:ЋЋAЋЋЋЋЋAЋЋЋЋЋЋЋЋAЋЋЋЋЋЋЋЋЋ' \n
TXT_SHIP_08|3 3 3 3 3 3 3 \n
TXT_SHIP_09|AMission:AЋЋЋAЋAQueue:ЋЋЋЋЋЋ' 3 \n
TXT_SHIP_10|3 3 3 3 \n
TXT_SHIP_11|AЋЋЋЋЋЋЋЋЋЋЋЋЋЋAЋЋЋЋЋЋЋЋЋЋЋЋAЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋ' \n
TXT_SHIP_12|3 3 \n
TXT_SHIP_13|AЋЋЋЋЋЋЋЋЋЋЋЋAЋЋЋЋЋЋЋЋЋЋЋЋAЋЋЋЋЋЋЋЋЋЋЋЋAЋЋЋЋЋЋЋЋЋЋЋЋAЋЋЋЋЋЋЋЋЋЋЋЋAЋЋЋЋЋЋЋЋЋЋЋЋ' \n
TXT_SHIP_14|3Is Down 3AnimAttached3Primary 3Player Owned3Initiated 3Repairing 3 \n
TXT_SHIP_15|3To Damage 3Falling [ ]3Loaner 3Player Aware3Deploying 3ToSelfRepair3 \n
TXT_SHIP_16|3To Display 3Useless 3Locked 3Cpu Aware 3Firing 3 3 \n
TXT_SHIP_17|3In Limbo 3Ticked Off 3Recoil 3Lemon 3Rotating 3 3 \n
TXT_SHIP_18|3Selected 3Cloakable 3Tethered 3Invul [ ]3Driving 3 3 \n
TXT_SHIP_19|3To Look 3Unloading 3Formation 3 3 3 3 \n
TXT_SHIP_20|'Team:IIIҐMmbrs:ҐQnt:ҐCenter:IҐTarget:IOFormation:IIOIIIIIIIIIIIIOIIIIIIIIIIIIж \n
TXT_SHIP_21|3 3 3 3 3 3 3Understrngth3Moving 3 \n
TXT_SHIP_22|AMission:AЋЋЋЋЋЋAЋЋЋЋAЋЋЋЋЋЋЋЋЏЋЋЋЋЋЋЋЋAЋЋЋЋЋЋЋЋЋЋЋЋ'FullStrength3ForcedActive3 \n
TXT_SHIP_23|3 3 3HasBeen 3Reforming 3 \n
TXT_SHIP_24|AЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋAЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋЋAЋЋЋЋЋЋЋЋЋЋЋЋAЋЋЋЋЋЋЋЋЋЋЋЋU \n
TXT_SHIP_25|<- F11 Ship F12 ->
TXT_NUCLEAR_BOMB|Атомная бомба
TXT_ION_CANNON|Ионная пушка
TXT_FIRESTORM|Firestorm Defense Toggle
TXT_LIGHTNING_STORM_APPROACHING|Внимание: Приближается разрушительная гроза.
TXT_LIGHTNING_STORM|Warning: Catastrophic lightning storm manifesting!
TXT_EM_PULSE|ЭМ Импульс
TXT_FIRESTORM_ON|Работает
TXT_CHARGING|Зарядка...
TXT_YELLOW|Желтый
TXT_GRAY|Серый
TXT_RED|Красный
TXT_PURPLE|Пурпурный
TXT_BLUE|Синий
TXT_CYAN|Cyan
TXT_TAN|Tan
TXT_GREEN|Зеленый
TXT_MODE|Режим
TXT_RANK|Звание
TXT_BACK|Назад
TXT_NOT_IN_LADDER|Sorry, that player or rank is not in the ladder.
TXT_BYTES_W_TIME|Прочитано байт: %d / %d. Осталось времени: %d секунд
TXT_BYTES_WO_TIME|Прочитано байт: %d / %d.
TXT_FINDING_PATCH|Поиск обновления...
TXT_NO_SERV_LIST|Невозможно получить список серверов
TXT_UPGRADEREQUIRED|Для этой игры требуется обновление \n Вы хотите скачать его сейчас?
TXT_DOWNLOADING_X_OF_Y|Скачивание файла %d из %d...
TXT_SERVER_ERROR|Ошибка сервера беседы
TXT_LOGIN_USED|Учетная запись уже используется.
TXT_BADPASS|Неправильное имя или пароль.
TXT_BANNED|Вы временно внесены в черный список. Хотите открыть Ваш интернет обозреватель для получения дополнительной информации?
TXT_CANT_CONNECT|Невозможно подключиться к Westwood Online, проверьте ваше соединение с сетью Интернет.
TXT_CHANCREATE_FAILED|Нельзя создать канал
TXT_CREATED_CHAN|Созданный канал: %s
TXT_CANT_JOINCHAN|Ошибка присоединения к каналу %X
TXT_PAGESENT|Page was successful.
TXT_PAGEDISABLED|User has pages disabled
TXT_PAGEUSERGONE|Пользователь не вошел
TXT_PAGEFAILED|Couldn't page user
TXT_FINDOK|Пользователь на канале %s
TXT_FINDNONE|Пользователя нет ни на каких каналах
TXT_FINDGONE|Пользователь не вошел в сеть
TXT_FINDDISABLED|User has find disabled
TXT_FINDFAILED|Поиск невозможен
TXT_YOURE_DISCON|Вы были отключены от сервера
TXT_BANNEDTILL|Вы внесены в черный список Westwood Online до %hs
TXT_CHAN_BAN|%s был(а) выгнан(а) с канала
TXT_CHAN_UNBAN|%s разрешили находиться на канале
TXT_YOURE_KICKED|Вы были выгнаны с канала %s пользователем %s
TXT_USER_KICKED|Пользователя %s выгнал с канала %s некий %s
TXT_YOULEFT|Вы покинули канал %s
TXT_FETCHING_SERVLIST|Установка списка серверов
TXT_CONNECTING_SERVER|Соединение с Westwood Online
TXT_REQ_CHANLIST|Запрос списка каналов
TXT_JOINLOB|Присоединение к прихожей
TXT_JOININGCHAN|Присоединение к каналу: %s
TXT_SEARCHING|ПОИСК...
TXT_SEARCHING_FOR|Поиск %s....
TXT_ACCEPTFIRST|Все игроки должны подтвердить до начала игры.
TXT_NO_BOUND_NET_CARD|Сеть не найдена
TXT_INVALID_SOCKET|Номер сокета должен быть от 0 до 16383
TXT_DESTNET_ADDR_ERROR|Сетевой адрес назначения должен быть формата xx.xx.xx.xx
TXT_ABOUT_TO_TRY_MODE|Режим экрана был изменен. Если возникнут проблемы с отображением на экран при новом режиме, то подождите и старый режим восстановится.
TXT_APIMISSING|Библиотека поддержки Westwood Online не найдена или повреждена. Пожалуйста, переустановите бесплатные интернет компоненты с Вашего компакт-диска.
TXT_APIWRONGVERSION|Установленная версия библиотеки поддержки Westwood Online очень старая. Пожалуйста, переустановите бесплатные интернет компоненты с Вашего компакт-диска.
TXT_NOTCHANOP|Вы должны быть оператором канала, чтобы сделать это.
TXT_NOSQUAD|You are not in a Red Alert 2 squad.
TXT_LAUNCHBROWSER|Вы действительно хотите запустить Ваш обозреватель и посетить эту страницу?
TXT_NOBROWSER|У вас нет обозревателя связанного с HTML файлами.
TXT_BAD_CHANNAME|Вы не можете создать канал с таким названием. Попробуйте удалить пробелы и знаки пунктуации.
TXT_BAD_CHANKEY|Вы не можете создать канал с таким паролем. Попробуйте удалить пробелы и знаки пунктуации.
TXT_CANTCREATE_CHAN|Вы не можете создать этот канал.
TXT_NAME_BLANK|У вашего игрока пустое имя, пожалуйста, введите имя.
TXT_GAME_CLOSED|Этот игровой канал закрыт
TXT_CHANNEL_FULL|Этот канал полон
TXT_JOINBAN|Вы были внесены в черный список этого канала
TXT_ENTER_MESSAGE|Пожалуйста, введите сообщение для отправки
TXT_NOT_IN_CHAN|Вы не можете посылать сообщения, когда не находитесь на канале
TXT_WOL_CONNLOST|Потеряно соединение с Westwood Online, внешние пользователи не смогут попасть на вашу страничку.
TXT_DSOUND_PROCEED|Продолжение с отключенным звуком.
TXT_REQ_NICK|Запрос новой уч. записи...
TXT_DISK_NAME|Красная угроза 2: Месть Юрия диск %d
TXT_CONFIRM_SAVE|Перезаписать эту сохраненную игру?
TXT_DISKFULL|Предупреждение - вы имеете очень мало свободного места на диске для сохраненных игр.
TXT_SIGNING_OFF|Завершение - пожалуйста, подождите...
TXT_CD_DIALOG_1|Пожалуйста, вставьте компакт-диск с игрой Красная угроза 2: Месть Юрия в устройство чтения компакт-дисков.
TXT_CD_DIALOG_2|Пожалуйста, вставьте компакт-диск %d (%s) в устройство чтения компакт дисков.
TXT_NAMES|Игроки
TXT_LOSSES|Потери
TXT_ECONOMY|Экономия
TXT_SCORE|Очки
TXT_KILLS|Убито
TXT_RESET_HOTKEYS|Вы точно хотите сбросить привязки 'Горячих клавиш'?
TXT_DSOUND_CANT_CREATE|Предупреждение - невозможно создать объект Direct Sound.
TXT_DSOUND_NO_COOP|Warning - Unable to set Direct Sound cooperative level.
TXT_DSOUND_NO_PRIMARY|Внимание - невозможно создать первичный буфер Direct Sound.
